Date,Amount,Currency
2000-02-07,0.0178,GBX
2000-04-17,0.0178,GBX
2000-07-17,0.0184,GBX
2000-10-23,0.0184,GBX
2001-01-15,0.0184,GBX
2001-04-25,0.0184,GBX
2001-07-18,0.0198,GBX
2001-10-24,0.0198,GBX
2002-01-16,0.0198,GBX
2002-04-24,0.0198,GBX
2002-07-17,0.02,GBX
2002-11-13,0.02,GBX
2003-01-15,0.02,GBX
2003-03-05,0.02,GBX
2003-07-16,0.0207,GBX
2003-11-12,0.0207,GBX
2004-02-04,0.0207,GBX
2004-04-28,0.0207,GBX
2004-07-28,0.0212,GBX
2004-11-03,0.0212,GBX
2005-01-26,0.0212,GBX
2005-04-27,0.0212,GBX
2005-07-27,0.0226,GBX
2005-10-26,0.0228,GBX
2006-01-25,0.0228,GBX
2006-04-26,0.024,GBX
2006-07-26,0.024,GBX
2006-10-25,0.0253,GBX
2007-01-24,0.0253,GBX
2007-04-25,0.0262,GBX
2007-07-25,0.0262,GBX
2007-10-24,0.0284,GBX
2008-01-23,0.0284,GBX
2008-04-23,0.0296,GBX
2008-07-23,0.0296,GBX
2008-10-22,0.0308,GBX
2009-01-21,0.0308,GBX
2009-04-22,0.0308,GBX
2009-07-22,0.0308,GBX
2009-10-21,0.0308,GBX
2010-01-20,0.0308,GBX
2010-04-28,0.0325,GBX
2010-07-28,0.0325,GBX
2010-10-20,0.0325,GBX
2011-01-19,0.0325,GBX
2011-05-04,0.0335,GBX
2011-07-27,0.0335,GBX
2011-10-26,0.0335,GBX
2012-01-25,0.0335,GBX
2012-05-02,0.0352,GBX
2012-08-08,0.0352,GBX
2012-10-24,0.0352,GBX
2013-01-23,0.0352,GBX
2013-05-01,0.0363,GBX
2013-07-31,0.0363,GBX
2013-10-23,0.0363,GBX
2014-01-22,0.0363,GBX
2014-04-30,0.0375,GBX
2014-07-30,0.0375,GBX
2014-10-23,0.0375,GBX
2015-01-22,0.0375,GBX
2015-04-30,0.039,GBX
2015-07-30,0.039,GBX
2015-10-21,0.039,GBX
2016-01-28,0.039,GBX
2016-04-28,0.0405,GBX
2016-07-28,0.0405,GBX
2016-10-20,0.0405,GBX
2017-01-26,0.0405,GBX
2017-04-27,0.043,GBX
2017-07-27,0.043,GBX
2017-10-19,0.043,GBX
2018-01-25,0.043,GBX
2018-04-26,0.0455,GBX
2018-07-26,0.0455,GBX
2018-10-18,0.0455,GBX
2019-01-24,0.0455,GBX
2019-04-25,0.0475,GBX
2019-07-25,0.0475,GBX
2019-10-24,0.0475,GBX
2020-01-23,0.0475,GBX
2020-04-23,0.0475,GBX
2020-07-30,0.0475,GBX
2020-10-29,0.0475,GBX
2021-01-28,0.0475,GBX
2021-04-29,0.048,GBX
2021-08-05,0.048,GBX
2021-10-28,0.048,GBX
2022-01-27,0.048,GBX
2022-04-28,0.05,GBX
2022-08-03,5,GBX
2022-08-04,0.05,GBX
2022-10-27,0.05,GBX
2023-01-26,0.05,GBX
2023-04-27,0.0505,GBX
2023-07-27,0.0505,GBX
2023-10-26,0.0505,GBX
2024-01-25,0.0505,GBX
2024-04-25,0.0525,GBX
2024-07-25,0.0525,GBX
2024-10-24,0.0525,GBX
2025-01-23,0.0525,GBX
