Date,Amount,Currency
2000-07-24,0.055,GBX
2000-12-04,0.0225,GBX
2001-07-25,0.06,GBX
2001-12-05,0.0275,GBX
2002-07-31,0.16,GBX
2002-12-04,0.04,GBX
2003-07-30,0.08,GBX
2003-12-03,0.044,GBX
2004-07-28,0.088,GBX
2004-11-24,0.047,GBX
2005-07-27,0.098,GBX
2005-11-30,0.054,GBX
2006-07-26,0.111,GBX
2006-11-29,0.059,GBX
2007-07-04,0.122,GBX
2007-11-28,0.065,GBX
2008-07-02,0.134,GBX
2008-11-26,0.07,GBX
2009-07-01,0.147,GBX
2009-11-25,0.08,GBX
2010-06-30,0.17,GBX
2010-11-24,0.088,GBX
2011-06-29,0.187,GBX
2011-11-23,0.09,GBX
2012-07-05,0.195,GBX
2012-12-06,0.094,GBX
2013-07-04,0.206,GBX
2013-12-05,0.1,GBX
2014-07-02,0.22,GBX
2014-12-04,0.106,GBX
2015-07-02,0.234,GBX
2015-12-10,0.116,GBX
2016-06-30,0.259,GBX
2016-12-08,0.131,GBX
2017-06-29,0.31,GBX
2017-12-07,0.151,GBX
2018-07-19,0.386,GBX
2018-12-06,0.159,GBX
2019-07-18,0.4,GBX
2019-12-12,0.167,GBX
2020-07-23,0.437,GBX
2020-12-17,0.187,GBX
2021-07-22,0.513,GBX
2021-12-16,0.2,GBX
2022-07-21,0.556,GBX
2022-12-15,0.206,GBX
2023-07-20,0.588,GBX
2023-12-14,0.227,GBX
2024-07-18,0.673,GBX
2024-12-12,0.25,GBX
