Date,Amount,Currency
2007-04-04,0.008,GBP
2007-11-14,0.03,GBP
2008-04-02,0.02,GBP
2008-11-19,0.035,GBP
2009-04-08,0.02,GBP
2009-11-25,0.04,GBP
2010-03-10,0.03,GBP
2010-11-24,0.05,GBP
2011-03-09,0.035,GBP
2011-11-23,0.08,GBP
2012-03-21,0.04,GBP
2012-11-19,0.325,GBP
2012-11-28,0.1,GBP
2013-03-20,0.045,GBP
2013-09-18,0.25,GBP
2013-11-27,0.115,GBP
2014-03-19,0.05,GBP
2014-11-27,0.15,GBP
2015-02-27,0.7,GBP
2015-03-12,0.055,GBP
2015-10-15,0.16,GBP
2016-03-03,0.06,GBP
2016-11-03,0.191,GBP
2017-03-23,0.065,GBP
2017-11-02,0.195,GBP
2018-03-22,0.07,GBP
2018-11-15,0.195,GBP
2019-03-14,0.075,GBP
2019-09-19,0.32,GBP
2019-10-31,0.205,GBP
2020-03-19,0.08,GBP
2021-03-18,0.12,GBP
2021-09-16,0.65,GBP
2021-10-28,0.23,GBP
2022-02-24,0.37,GBP
2022-03-17,0.14,GBP
2022-11-10,0.26,GBP
2023-03-16,0.4,GBP
2023-10-26,0.27,GBP
2024-03-14,0.16,GBP
2024-10-31,0.275,GBP
