Date,Amount,Currency
2006-10-04,0.04621,GBP
2006-10-09,84.06572,GBP
2007-04-25,9.52656,GBP
2007-04-30,0.329,GBP
2007-10-03,0.047,GBP
2008-04-16,0.078,GBP
2008-09-17,0.097,GBP
2009-05-06,0.383,GBP
2009-09-16,0.041,GBP
2010-04-28,0.096,GBP
2010-09-29,0.141,GBP
2011-04-27,0.179,GBP
2011-09-28,0.16,GBP
2012-04-25,0.118,GBP
2012-09-26,0.144,GBP
2013-04-24,0.109,GBP
2013-09-25,0.087,GBP
2014-04-23,0.089,GBP
2014-09-24,0.047,GBP
2015-04-23,0.072,GBP
2015-09-24,0.051,GBP
2016-04-21,0.006,GBP
2016-09-22,0.021,GBP
2017-04-20,0.004,GBP
2017-09-21,0.049,GBP
2018-04-19,0.074,GBP
2018-09-20,0.056,GBP
2019-04-18,0.085,GBP
2019-09-19,0.064,GBP
2020-04-23,0.095,GBP
2020-08-20,0.068,GBP
2021-04-22,0.103,GBP
2021-08-26,0.075,GBP
2022-04-28,0.113,GBP
2022-08-25,0.084,GBP
2023-04-20,0.126,GBP
2023-08-24,0.092,GBP
2024-04-18,0.139,GBP
2024-09-19,0.104,GBP
