Date,Amount,Currency
2000-06-05,0.0825,GBP
2000-10-30,0.04,GBP
2001-06-06,0.0845,GBP
2001-10-31,0.041,GBP
2002-06-05,0.0865,GBP
2002-10-30,0.042,GBP
2003-06-04,0.0895,GBP
2003-11-05,0.042,GBP
2004-06-02,0.0895,GBP
2004-11-10,0.042,GBP
2005-06-01,0.0895,GBP
2005-11-09,0.044,GBP
2006-06-14,0.1085,GBP
2006-11-08,0.044,GBP
2007-01-31,0.044,GBP
2007-05-02,0.044,GBP
2007-06-06,0.0565,GBP
2007-11-07,0.0475,GBP
2008-01-30,0.0475,GBP
2008-05-07,0.0475,GBP
2008-06-04,0.0565,GBP
2008-11-12,0.0475,GBP
2009-02-04,0.0475,GBP
2009-05-06,0.0475,GBP
2009-06-17,0.0615,GBP
2009-11-18,0.0475,GBP
2010-02-03,0.0475,GBP
2010-03-10,0.0475,GBP
2010-06-16,0.0635,GBP
2010-11-17,0.0475,GBP
2011-02-02,0.0475,GBP
2011-05-04,0.0475,GBP
2011-06-15,0.0655,GBP
2011-11-16,0.05,GBP
2012-02-01,0.05,GBP
2012-05-02,0.05,GBP
2012-06-13,0.07,GBP
2012-11-14,0.05,GBP
2013-02-06,0.05,GBP
2013-05-01,0.05,GBP
2013-06-12,0.078,GBP
2013-11-20,0.05,GBP
2014-02-05,0.05,GBP
2014-05-07,0.05,GBP
2014-06-11,0.085,GBP
2014-11-20,0.05,GBP
2015-02-05,0.051,GBP
2015-05-07,0.0515,GBP
2015-06-11,0.086,GBP
2015-11-19,0.052,GBP
2016-02-04,0.052,GBP
2016-05-05,0.052,GBP
2016-06-09,0.0875,GBP
2016-11-17,0.054,GBP
2017-02-02,0.054,GBP
2017-05-04,0.054,GBP
2017-06-22,0.0915,GBP
2017-11-16,0.058,GBP
2018-02-01,0.058,GBP
2018-05-03,0.058,GBP
2018-06-21,0.092,GBP
2018-11-15,0.0625,GBP
2019-02-07,0.0625,GBP
2019-05-02,0.0625,GBP
2019-06-20,0.0925,GBP
2019-11-14,0.064,GBP
2020-02-06,0.064,GBP
2020-05-07,0.064,GBP
2020-06-25,0.0945,GBP
2020-11-12,0.06,GBP
2021-02-04,0.06,GBP
2021-05-06,0.06,GBP
2021-06-24,0.06,GBP
2021-11-04,0.06,GBP
2022-02-03,0.06,GBP
2022-05-05,0.064,GBP
2022-06-09,0.064,GBP
2022-11-03,0.064,GBP
2023-02-02,0.064,GBP
2023-05-04,0.067,GBP
2023-06-08,0.067,GBP
2023-11-02,0.067,GBP
2024-02-01,0.067,GBP
2024-05-02,0.069,GBP
2024-06-06,0.069,GBP
2024-10-31,0.069,GBP
2025-01-30,0.069,GBP
