Date,Amount,Currency
2007-01-03,0.0294,GBX
2007-06-27,0.0572,GBX
2008-01-02,0.0333,GBX
2008-12-31,0.04448,GBX
2009-06-24,0.081,GBX
2009-12-30,0.0438,GBX
2010-06-23,0.10521,GBX
2010-12-29,0.05823,GBX
2011-06-22,0.11861,GBX
2011-12-28,0.05291,GBX
2012-06-20,0.13929,GBX
2013-01-02,0.06669,GBX
2013-06-19,0.1573,GBX
2013-12-31,0.07005,GBX
2014-06-25,0.15157,GBX
2015-01-02,0.08101,GBX
2015-06-25,0.17304,GBX
2015-12-31,0.08602,GBX
2016-06-23,0.20731,GBX
2016-12-29,0.10553,GBX
2017-06-22,0.21941,GBX
2018-01-04,0.09863,GBX
2018-06-21,0.2367,GBX
2019-01-03,0.10918,GBX
2019-06-27,0.25983,GBX
2020-01-02,0.11102,GBX
2020-06-25,0.26064,GBX
2021-01-07,0.10675,GBX
2021-06-24,0.23577,GBX
2022-01-06,0.11693,GBX
2022-06-23,0.29751,GBX
2023-01-05,0.1391,GBX
2023-06-22,0.29689,GBX
2024-01-04,0.14103,GBX
2024-06-20,0.32035,GBX
2025-01-09,19.25,GBX
