Date,Amount,Currency
2000-03-06,0.02,GBP
2000-08-21,0.0095,GBP
2001-03-21,0.0215,GBP
2001-08-29,0.01,GBP
2002-03-13,0.023,GBP
2002-08-14,0.0105,GBP
2003-03-12,0.0245,GBP
2003-08-13,0.018,GBP
2004-03-10,0.019,GBP
2004-08-11,0.019,GBP
2005-03-02,0.2,GBP
2005-08-03,0.022,GBP
2006-04-05,0.0255,GBP
2006-08-02,0.0245,GBP
2007-03-14,0.0285,GBP
2007-08-08,0.027,GBP
2008-03-19,0.0315,GBP
2008-08-06,0.03,GBP
2009-03-18,0.0345,GBP
2009-08-05,0.03,GBP
2010-03-17,0.0365,GBP
2010-08-11,0.03,GBP
2011-04-13,0.0375,GBP
2011-08-10,0.03,GBP
2012-04-11,0.041,GBP
2012-08-08,0.04,GBP
2013-01-09,0.02,GBP
2013-04-03,0.025,GBP
2013-07-10,0.021,GBP
2013-10-02,0.021,GBP
2013-12-31,0.021,GBP
2014-03-26,0.027,GBP
2014-07-02,0.022,GBP
2014-10-01,0.022,GBP
2015-01-02,0.022,GBP
2015-03-26,0.027,GBP
2015-07-02,0.023,GBP
2015-10-01,0.023,GBP
2016-01-07,0.023,GBP
2016-03-31,0.027,GBP
2016-06-30,0.0235,GBP
2016-09-29,0.0235,GBP
2017-01-05,0.0245,GBP
2017-03-30,0.027,GBP
2017-07-06,0.025,GBP
2017-09-28,0.025,GBP
2018-01-04,0.027,GBP
2018-03-29,0.027,GBP
2018-07-05,0.027,GBP
2018-10-04,0.027,GBP
2019-01-03,0.028,GBP
2019-04-04,0.028,GBP
2019-07-04,0.029,GBP
2019-10-03,0.029,GBP
2020-01-02,0.029,GBP
2020-04-16,0.029,GBP
2020-07-16,0.029,GBP
2020-10-08,0.029,GBP
2021-01-07,0.029,GBP
2021-04-15,0.034,GBP
2021-07-15,0.03,GBP
2021-10-07,0.03,GBP
2022-01-06,0.03,GBP
2022-04-07,0.038,GBP
2022-06-30,0.032,GBP
2022-10-06,0.032,GBP
2023-01-05,0.032,GBP
2023-04-06,0.039,GBP
2023-06-29,0.034,GBP
2023-10-05,0.034,GBP
2024-01-04,0.034,GBP
2024-04-11,0.045,GBP
2024-06-27,0.036,GBP
2024-10-03,0.036,GBP
2025-01-02,0.036,GBP
