Date,Amount,Currency
2008-04-16,0.01594,GBP
2008-09-03,0.01607,GBP
2009-04-15,0.02263,GBP
2009-11-11,0.02005,GBP
2010-04-28,0.02041,GBP
2010-08-11,0.02298,GBP
2011-04-27,0.02108,GBP
2011-08-10,0.02055,GBP
2012-05-02,0.0189,GBP
2012-08-29,0.02104,GBP
2013-03-20,0.04059,GBP
2013-05-01,0.0203,GBP
2013-08-14,0.01264,GBP
2014-03-19,0.05107,GBP
2014-04-30,0.02553,GBP
2014-08-13,0.02553,GBP
2015-03-19,0.05107,GBP
2015-04-30,0.02553,GBP
2015-08-13,0.02116,GBP
2017-03-30,0.02553,GBP
2017-05-04,0.02553,GBP
2017-08-10,0.02553,GBP
2017-12-14,0.02553,GBP
2018-03-29,0.04724,GBP
2018-05-31,0.02362,GBP
2018-08-23,0.02519,GBP
2018-12-13,0.05179,GBP
2019-05-02,0.05107,GBP
2019-06-13,0.05107,GBP
2019-08-15,0.05107,GBP
2020-01-09,0.05107,GBP
2020-04-30,0.02553,GBP
2020-06-04,0.02553,GBP
2020-06-18,0.05107,GBP
2020-08-13,0.05107,GBP
2020-09-24,0.05107,GBP
2021-01-14,0.10214,GBP
2021-03-25,0.30641,GBP
2021-06-17,0.10214,GBP
2021-08-12,0.30641,GBP
2022-01-06,0.05107,GBP
2022-06-09,0.10214,GBP
2022-06-16,0.05107,GBP
2024-01-25,0.033,GBP
