Date,Amount,Currency
2000-04-03,0.01656,GBP
2000-09-11,0.01416,GBP
2001-04-11,0.02345,GBP
2001-09-05,0.01874,GBP
2002-03-13,0.02776,GBP
2002-09-18,0.02231,GBP
2009-03-11,0.04637,GBP
2009-09-09,0.022,GBP
2010-03-10,2.0904,GBP
2010-09-08,0.01881,GBP
2011-03-09,0.03763,GBP
2011-09-07,0.02299,GBP
2012-03-14,3.97176,GBP
2012-09-05,2.50848,GBP
2013-03-13,4.59888,GBP
2013-09-04,0.02927,GBP
2014-03-12,0.055,GBP
2014-09-03,3.1356,GBP
2015-03-19,5.85312,GBP
2015-09-10,0.045,GBP
2016-03-17,6.68928,GBP
2016-09-08,3.97176,GBP
2017-03-16,0.09,GBP
2017-09-07,4.38984,GBP
2018-03-08,8.57064,GBP
2018-08-30,0.06,GBP
2019-03-07,0.12,GBP
2019-09-26,0.065,GBP
2020-03-05,0.125,GBP
2021-01-28,10.452,GBP
2021-04-08,0.145,GBP
2021-09-02,0.085,GBP
2022-04-07,18.39552,GBP
2022-09-08,0.0925,GBP
2023-04-13,19.8588,GBP
2023-09-21,0.1,GBP
2024-04-11,0.26,GBP
2024-09-12,8.77968,GBP
