Date,Amount,Currency
2001-08-08,0.045,GBP
2002-08-07,0.0475,GBP
2003-07-30,0.055,GBP
2004-07-21,0.065,GBP
2005-08-03,0.075,GBP
2006-11-01,0.0825,GBP
2007-12-05,0.091,GBP
2008-12-10,0.1,GBP
2009-12-09,0.11,GBP
2010-12-08,0.121,GBP
2011-11-09,0.133,GBP
2012-03-14,0.045,GBP
2012-11-07,0.101,GBP
2013-03-13,0.05,GBP
2013-11-20,0.111,GBP
2014-03-05,0.055,GBP
2014-11-20,0.122,GBP
2015-03-05,0.061,GBP
2015-11-19,0.134,GBP
2016-03-03,0.067,GBP
2016-11-17,0.147,GBP
2017-03-02,0.074,GBP
2017-11-16,0.162,GBP
2018-03-08,0.081,GBP
2018-11-15,0.179,GBP
2019-03-07,0.089,GBP
2019-11-07,0.188,GBP
2020-03-05,0.094,GBP
2020-11-19,0.197,GBP
2021-03-04,0.103,GBP
2021-11-18,0.217,GBP
2022-03-03,0.103,GBP
2022-11-17,0.217,GBP
2023-03-02,0.103,GBP
2023-11-09,0.217,GBP
2024-02-29,0.103,GBP
2024-11-07,0.217,GBP
2025-03-06,0.103,GBP
