Date,Amount,Currency
2000-06-26,0.0025,GBP
2000-12-27,0.00131,GBP
2001-06-27,0.00264,GBP
2001-12-27,0.00134,GBP
2002-06-26,0.00268,GBP
2002-12-27,0.00137,GBP
2003-06-25,0.00278,GBP
2003-12-24,0.00141,GBP
2004-07-07,0.00283,GBP
2004-12-29,0.00144,GBP
2005-06-29,0.00296,GBP
2005-12-28,0.00149,GBP
2006-07-05,0.001,GBP
2006-12-27,0.00153,GBP
2007-07-04,0.00316,GBP
2008-01-02,0.00158,GBP
2008-07-02,0.00325,GBP
2008-12-24,0.0016,GBP
2008-12-29,1.6,GBP
2009-07-01,0.00329,GBP
2009-12-23,0.0016,GBP
2010-06-23,0.0034,GBP
2010-12-29,0.0016,GBP
2011-06-29,0.0035,GBP
2011-12-28,0.00163,GBP
2012-07-04,0.004,GBP
2012-12-24,0.002,GBP
2013-07-17,0.0045,GBP
2013-12-30,0.0025,GBP
2013-12-31,2.5,GBP
2014-07-16,0.0055,GBP
2015-01-02,0.00265,GBP
2015-07-16,0.007,GBP
2016-01-07,0.0029,GBP
2016-07-14,0.0078,GBP
2017-01-05,0.004,GBP
2017-07-13,0.00825,GBP
2018-01-04,0.0044,GBP
2018-07-12,0.01,GBP
2019-01-03,0.005,GBP
2019-07-11,0.0115,GBP
2020-01-02,0.0055,GBP
2020-07-09,0.0115,GBP
2021-01-07,0.0055,GBP
2021-07-15,0.012,GBP
2022-01-06,0.0057,GBP
2022-06-30,0.0127,GBP
2022-12-29,0.0063,GBP
2023-07-06,0.0167,GBP
2023-12-28,0.0068,GBP
2024-07-11,0.0213,GBP
2024-12-24,0.007,GBP
