Date,Amount,Currency
2000-02-28,0.22221,GBP
2000-08-07,0.15151,GBP
2000-12-18,28.75,GBP
2000-12-22,0.23231,GBP
2001-05-02,0.09091,GBP
2001-08-01,0.09091,GBP
2001-10-31,0.09091,GBP
2002-02-20,0.12121,GBP
2002-05-01,0.09091,GBP
2002-07-31,0.09091,GBP
2002-10-30,0.09091,GBP
2003-02-19,0.13131,GBP
2003-05-07,0.09091,GBP
2003-07-30,0.09091,GBP
2003-10-29,0.09091,GBP
2004-02-18,0.14141,GBP
2004-05-12,0.10101,GBP
2004-08-04,0.10101,GBP
2004-11-03,0.10101,GBP
2005-02-16,0.12121,GBP
2005-05-11,0.10101,GBP
2005-05-12,12.5,GBP
2005-08-03,0.10101,GBP
2005-11-02,0.10101,GBP
2006-02-15,0.14141,GBP
2006-05-10,0.11111,GBP
2006-08-02,0.11111,GBP
2006-11-01,0.12121,GBP
2007-02-14,0.14141,GBP
2007-05-02,0.12121,GBP
2007-08-01,0.12121,GBP
2007-10-31,0.13131,GBP
2008-02-13,0.16161,GBP
2008-04-30,0.13131,GBP
2008-07-30,0.13131,GBP
2008-10-29,0.14141,GBP
2009-02-11,0.17171,GBP
2009-04-29,0.14141,GBP
2009-07-29,0.14141,GBP
2009-11-04,0.15151,GBP
2010-02-10,0.18181,GBP
2010-05-05,0.15151,GBP
2010-07-28,0.15151,GBP
2010-10-27,0.16161,GBP
2011-02-09,0.19191,GBP
2011-05-04,0.16161,GBP
2011-08-03,0.16161,GBP
2011-11-02,0.17171,GBP
2012-02-15,0.21211,GBP
2012-05-09,0.17171,GBP
2012-08-08,0.17171,GBP
2012-11-14,0.18181,GBP
2013-02-20,0.22221,GBP
2013-05-08,0.18181,GBP
2013-08-07,0.18181,GBP
2013-11-13,0.19191,GBP
2014-02-19,0.23231,GBP
2014-05-14,0.19191,GBP
2014-08-06,0.19191,GBP
2014-11-06,0.19191,GBP
2015-02-19,0.23231,GBP
2015-05-14,0.19191,GBP
2015-08-13,0.19191,GBP
2015-11-12,0.19191,GBP
2016-02-18,0.20201,GBP
2016-05-12,0.19191,GBP
2016-08-11,0.19191,GBP
2016-11-03,0.19191,GBP
2017-02-23,0.23231,GBP
2017-05-11,0.19191,GBP
2017-08-10,0.19191,GBP
2017-11-09,0.19191,GBP
2018-02-22,0.23231,GBP
2018-05-10,0.19191,GBP
2018-08-09,0.19191,GBP
2018-11-15,0.19191,GBP
2019-02-21,0.23231,GBP
2019-05-16,0.19191,GBP
2019-08-08,0.19191,GBP
2019-11-14,0.19191,GBP
2020-02-20,0.23231,GBP
2020-05-14,0.19191,GBP
2020-08-13,0.19191,GBP
2020-11-12,0.19191,GBP
2021-02-18,0.23231,GBP
2021-05-20,0.19191,GBP
2021-08-19,0.19191,GBP
2021-11-18,0.19191,GBP
2022-02-24,0.23231,GBP
2022-05-19,0.14141,GBP
2022-08-18,0.1625,GBP
2022-11-17,0.1375,GBP
2023-02-23,0.1375,GBP
2023-05-18,0.14,GBP
2023-08-17,0.14,GBP
2023-11-16,0.14,GBP
2024-02-22,0.16,GBP
2024-05-16,0.15,GBP
2024-08-15,0.15,GBP
2024-11-14,0.15,GBP
2025-02-20,0.16,GBP
