Date,Amount,Currency
2007-10-30,0.022,GBP
2008-06-11,0.052,GBP
2008-11-05,0.024,GBP
2009-06-03,0.0574,GBP
2009-11-04,0.026,GBP
2010-03-10,0.0554,GBP
2010-06-02,0.0122,GBP
2010-11-03,0.028,GBP
2011-06-01,0.074,GBP
2011-11-02,0.031,GBP
2012-05-30,0.08,GBP
2012-10-31,0.034,GBP
2013-05-29,0.086,GBP
2013-10-30,0.0365,GBP
2014-05-28,0.091,GBP
2014-10-30,0.038,GBP
2015-05-28,0.095,GBP
2015-10-29,0.041,GBP
2016-03-03,0.092,GBP
2016-06-02,0.013,GBP
2016-11-03,0.046,GBP
2017-06-01,0.125,GBP
2017-11-02,0.05,GBP
2018-05-31,0.14,GBP
2018-11-01,0.056,GBP
2019-05-30,0.158,GBP
2019-10-31,0.06,GBP
2020-05-28,0.154,GBP
2020-10-29,0.07,GBP
2021-06-03,0.19,GBP
2021-11-04,0.082,GBP
2022-05-31,21.5,GBP
2022-06-01,0.215,GBP
2022-11-03,0.071,GBP
2023-06-01,0.226,GBP
2023-11-02,0.09,GBP
2024-05-30,0.23,GBP
2024-10-31,0.096,GBP
