Date,Amount,Currency
2000-04-03,0.008,GBP
2001-03-07,0.0145,GBP
2002-03-06,0.008,GBP
2003-03-26,0.008,GBP
2004-03-17,0.012,GBP
2005-03-16,0.008,GBP
2006-03-22,0.01,GBP
2007-03-21,0.014,GBP
2008-03-26,0.025,GBP
2009-04-01,0.025,GBP
2010-02-24,0.025,GBP
2010-04-20,0.0025,GBP
2011-04-06,0.028,GBP
2012-04-04,0.01,GBP
2013-04-03,0.023,GBP
2014-04-02,0.029,GBP
2014-09-03,0.019,GBP
2015-04-02,0.032,GBP
2016-04-07,0.04,GBP
2017-04-06,0.046,GBP
2017-09-21,0.016,GBP
2018-03-29,0.03,GBP
2018-09-20,0.016,GBP
2019-03-21,0.03,GBP
2019-09-19,0.018,GBP
2020-03-19,0.03,GBP
2020-09-24,0.02,GBP
2021-04-29,0.03,GBP
2021-09-16,0.02,GBP
2022-03-17,0.05,GBP
2022-09-22,0.025,GBP
2023-03-23,0.045,GBP
2023-09-28,0.02,GBP
2024-03-21,0.045,GBP
2024-09-26,0.02,GBP
2025-03-20,0.035,GBP
