Date,Amount,Currency
2000-07-17,0.0242,GBX
2000-12-27,0.0181,GBX
2001-07-18,0.0279,GBX
2002-01-02,0.0208,GBX
2002-07-17,0.0321,GBX
2003-01-02,0.0229,GBX
2003-07-16,0.0353,GBX
2004-01-07,0.0244,GBX
2004-07-21,0.0375,GBX
2005-01-05,0.0258,GBX
2005-07-20,0.0392,GBX
2006-01-04,0.0271,GBX
2006-07-19,0.0412,GBX
2007-01-03,0.0285,GBX
2007-07-18,0.0433,GBX
2008-01-02,0.03,GBX
2008-07-16,0.0455,GBX
2008-12-31,0.0315,GBX
2009-07-15,0.0478,GBX
2010-01-06,0.0331,GBX
2010-07-21,0.0519,GBX
2011-01-05,0.0354,GBX
2011-07-20,0.0556,GBX
2012-01-04,0.0379,GBX
2012-07-18,0.0595,GBX
2013-01-02,0.0406,GBX
2013-07-17,0.0637,GBX
2013-12-31,0.0435,GBX
2014-07-16,0.0682,GBX
2014-12-29,0.0465,GBX
2015-07-16,0.0731,GBX
2015-12-31,0.0498,GBX
2016-07-14,0.0783,GBX
2016-12-29,0.0533,GBX
2017-07-13,0.0838,GBX
2017-12-28,0.0571,GBX
2018-07-12,0.0897,GBX
2018-12-27,0.0611,GBX
2019-07-11,0.096,GBX
2019-12-24,0.0654,GBX
2020-08-27,0.0996,GBX
2020-12-24,0.0687,GBX
2021-07-08,0.1078,GBX
2021-12-23,0.0735,GBX
2022-07-14,0.1153,GBX
2022-12-22,0.0786,GBX
2023-07-13,0.1234,GBX
2023-12-21,0.0841,GBX
2024-07-11,0.132,GBX
2024-12-19,0.09,GBX
