Date,Amount,Currency
2000-03-13,99999.99999,GBP
2000-09-25,99999.99999,GBP
2001-03-14,99999.99999,GBP
2001-09-26,99999.99999,GBP
2002-03-13,99999.99999,GBP
2002-09-25,99999.99999,GBP
2003-03-05,99999.99999,GBP
2003-09-24,99999.99999,GBP
2004-04-14,99999.99999,GBP
2004-09-22,99999.99999,GBP
2005-04-13,99999.99999,GBP
2005-09-21,99999.99999,GBP
2006-04-12,99999.99999,GBP
2006-09-20,99999.99999,GBP
2007-04-11,99999.99999,GBP
2007-09-19,99999.99999,GBP
2008-04-09,99999.99999,GBP
2008-08-13,99999.99999,GBP
2009-02-18,99999.99999,GBP
2009-08-19,99999.99999,GBP
2010-03-03,99999.99999,GBP
2010-08-18,99999.99999,GBP
2011-03-09,99999.99999,GBP
2011-08-17,99999.99999,GBP
2012-03-14,99999.99999,GBP
2012-08-15,99999.99999,GBP
2013-04-03,99999.99999,GBP
2013-08-21,99999.99999,GBP
2014-03-12,99999.99999,GBP
2014-08-20,99999.99999,GBP
2015-03-12,99999.99999,GBP
2015-08-20,475,GBP
2016-03-17,640,GBP
2016-08-25,505,GBP
2017-03-16,695,GBP
2017-08-31,535,GBP
2018-03-15,740,GBP
2018-08-30,555,GBP
2019-03-21,740,GBP
2019-08-29,555,GBP
2020-03-19,99999.99999,GBP
2020-11-19,2,GBP
2021-04-01,2,GBP
2021-10-28,2,GBP
2022-03-31,2,GBP
2022-10-06,2,GBP
2023-08-24,7.2,GBP
2024-04-04,7.8,GBP
2024-08-22,7.6,GBP
