Date,Amount,Currency
2000-03-13,0.11384,GBP
2000-08-14,0.08677,GBP
2001-03-14,0.17147,GBP
2001-08-22,0.11373,GBP
2002-03-20,0.17728,GBP
2002-08-21,0.11668,GBP
2003-03-19,0.18116,GBP
2003-08-20,0.13134,GBP
2003-11-26,0.0612,GBP
2004-03-17,0.1155,GBP
2004-05-19,0.06355,GBP
2004-08-18,0.06216,GBP
2004-11-24,0.06024,GBP
2005-03-16,0.12202,GBP
2005-05-18,0.06651,GBP
2005-08-17,0.06741,GBP
2005-11-23,0.07088,GBP
2006-03-22,0.15464,GBP
2006-05-17,0.06932,GBP
2006-08-16,0.0688,GBP
2006-11-22,0.06829,GBP
2007-03-21,0.16009,GBP
2007-05-16,0.07472,GBP
2007-08-15,0.07441,GBP
2007-11-21,0.07209,GBP
2008-03-19,0.17114,GBP
2008-05-21,0.07985,GBP
2008-08-20,0.0844,GBP
2008-11-19,0.1038,GBP
2009-03-18,0.06238,GBP
2009-05-20,0.05112,GBP
2009-08-19,0.04849,GBP
2009-11-18,0.04773,GBP
2010-03-17,0.06538,GBP
2010-05-19,0.05568,GBP
2010-08-18,0.0513,GBP
2010-11-17,0.05025,GBP
2011-03-16,0.07486,GBP
2011-05-18,0.05574,GBP
2011-08-17,0.0581,GBP
2011-11-23,0.05829,GBP
2012-03-14,0.08699,GBP
2012-05-16,0.05784,GBP
2012-08-15,0.05554,GBP
2012-10-24,0.05604,GBP
2013-03-20,0.11588,GBP
2013-05-22,0.0658,GBP
2013-08-21,0.06191,GBP
2013-10-23,0.06102,GBP
2014-03-12,0.11292,GBP
2014-05-21,0.05877,GBP
2014-08-20,0.06162,GBP
2014-10-23,0.06363,GBP
2015-03-05,0.13399,GBP
2015-05-21,0.06371,GBP
2015-08-13,0.06444,GBP
2015-10-22,0.06602,GBP
2016-03-03,0.14791,GBP
2016-05-19,0.07542,GBP
2016-08-11,0.07663,GBP
2016-10-20,0.08042,GBP
2017-02-23,0.16676,GBP
2017-05-18,0.07864,GBP
2017-08-03,0.07577,GBP
2017-10-12,0.07641,GBP
2018-02-22,0.14762,GBP
2018-05-17,0.0755,GBP
2018-08-16,0.07632,GBP
2018-10-11,0.0778,GBP
2019-02-21,0.15927,GBP
2019-05-16,0.07837,GBP
2019-08-15,0.08256,GBP
2019-10-10,0.08142,GBP
2021-03-11,0.10738,GBP
2021-08-19,0.05124,GBP
2022-03-10,0.13711,GBP
2022-08-18,0.07498,GBP
2023-03-02,0.1924,GBP
2023-05-11,0.07986,GBP
2023-08-10,0.07853,GBP
2023-11-09,0.08139,GBP
2024-03-07,0.24463,GBP
2024-05-09,0.07992,GBP
2024-08-15,0.07582,GBP
2024-11-07,0.07829,GBP
2025-03-06,0.27928,GBP
