Date,Amount,Currency
2000-03-27,0.05844,GBP
2000-09-18,2.80526,GBP
2001-03-28,0.05844,GBP
2001-09-12,0.09351,GBP
2002-03-27,3.74035,GBP
2002-09-18,0.93509,GBP
2003-06-04,0.0187,GBP
2003-11-05,1.16886,GBP
2004-06-09,0.02104,GBP
2004-11-03,1.40263,GBP
2005-06-08,2.80526,GBP
2005-11-02,0.02,GBP
2006-06-07,0.04,GBP
2006-11-01,0.023,GBP
2007-06-13,0.052,GBP
2007-10-31,0.0255,GBP
2008-05-28,0.057,GBP
2008-10-29,0.029,GBP
2009-05-27,0.07,GBP
2009-10-28,0.035,GBP
2010-03-03,0.07,GBP
2010-10-27,0.037,GBP
2011-06-08,0.083,GBP
2011-10-26,0.04,GBP
2012-06-06,0.11,GBP
2012-10-24,0.045,GBP
2013-06-12,0.14,GBP
2013-11-06,0.0475,GBP
2014-04-30,0.12865,GBP
2014-11-06,0.05106,GBP
2015-04-30,0.14894,GBP
2015-10-08,0.02613,GBP
2016-06-09,0.0275,GBP
2018-10-04,0.03065,GBP
2019-04-18,0.03861,GBP
2019-10-03,0.04077,GBP
2020-04-16,0.02406,GBP
2020-10-01,0.01551,GBP
2021-03-22,4,GBP
2021-04-22,0.02876,GBP
2021-10-07,0.02931,GBP
2022-04-21,0.03177,GBP
2022-10-06,0.04031,GBP
2023-04-20,0.03608,GBP
2023-10-05,0.04081,GBP
2024-04-11,0.04021,GBP
2024-10-03,5.5,GBP
