Date,Amount,Currency
2000-05-22,0.007,GBP
2000-09-11,0.009,GBP
2001-05-30,0.01,GBP
2001-10-03,0.012,GBP
2002-05-29,0.013,GBP
2002-10-02,0.015,GBP
2003-05-28,0.016,GBP
2003-10-01,0.018,GBP
2004-05-26,0.02,GBP
2004-09-29,0.02,GBP
2005-05-25,0.02,GBP
2005-09-28,0.02,GBP
2007-12-31,0.005,GBP
2008-05-28,0.005,GBP
2012-05-23,0.005,GBP
2012-10-31,0.003,GBP
2013-05-22,0.027,GBP
2013-10-23,0.01,GBP
2014-05-21,0.045,GBP
2014-10-23,0.019,GBP
2015-05-21,0.065,GBP
2015-10-22,0.028,GBP
2016-05-19,0.071,GBP
2016-10-20,0.033,GBP
2017-05-18,0.074,GBP
2017-10-19,0.036,GBP
2018-05-24,0.075,GBP
2018-10-24,3.7,GBP
2018-10-25,0.037,GBP
2019-05-23,0.079,GBP
2019-10-24,0.039,GBP
2020-05-21,0.091,GBP
2021-05-20,0.091,GBP
2021-10-14,0.043,GBP
2022-04-07,0.152,GBP
2022-10-13,0.047,GBP
2023-04-06,0.159,GBP
2023-10-12,0.048,GBP
2024-04-11,0.162,GBP
2024-10-17,0.049,GBP
