Date,Amount,Currency
2007-04-11,0.002,GBP
2008-03-14,0.003,GBP
2008-04-16,0.003,GBP
2009-04-15,0.0085,GBP
2010-04-14,0.0075,GBP
2011-04-13,0.0075,GBP
2012-04-25,0.009,GBP
2013-04-24,0.009,GBP
2014-04-23,0.012,GBP
2015-04-23,0.014,GBP
2016-04-21,0.0145,GBP
2017-04-27,0.0195,GBP
2018-04-26,0.025,GBP
2019-04-25,0.03,GBP
2020-04-02,0.03,GBP
2020-08-06,0.013,GBP
2021-02-18,0.01,GBP
2021-08-05,0.013,GBP
2022-01-06,0.015,GBP
2022-08-04,0.015,GBP
2023-02-09,0.025,GBP
2023-08-10,0.017,GBP
2024-02-15,0.029,GBP
2024-08-15,0.018,GBP
2025-02-06,0.032,GBP
