Date,Amount,Currency
2006-02-01,0.015,GBP
2006-09-06,0.04,GBP
2007-01-31,0.02,GBP
2007-09-05,0.065,GBP
2008-01-23,0.03,GBP
2008-09-10,0.09,GBP
2009-01-28,0.04,GBP
2009-09-09,0.11,GBP
2010-01-27,0.05,GBP
2010-09-08,0.135,GBP
2011-01-26,0.0525,GBP
2011-09-07,0.1475,GBP
2012-01-25,0.0575,GBP
2012-09-19,0.1675,GBP
2013-01-23,0.0575,GBP
2013-09-18,0.175,GBP
2014-01-22,0.0575,GBP
2014-10-23,0.224,GBP
2015-01-29,0.0845,GBP
2015-10-01,0.197,GBP
2016-01-28,0.0845,GBP
2016-09-29,0.2295,GBP
2017-02-02,0.0942,GBP
2017-09-28,0.2288,GBP
2018-02-01,0.0969,GBP
2018-09-27,0.3351,GBP
2019-01-31,0.1296,GBP
2019-08-23,30.24,GBP
2019-09-26,0.3024,GBP
2020-01-30,0.1296,GBP
2020-09-24,0.3024,GBP
2021-01-28,0.1296,GBP
2021-09-23,0.3024,GBP
2022-02-02,12.96,GBP
2022-02-03,0.1296,GBP
2022-09-22,0.3124,GBP
2023-02-02,0.1326,GBP
2023-09-21,0.3194,GBP
2024-02-01,0.1356,GBP
2024-09-19,0.3264,GBP
2025-01-30,0.1386,GBP
