Date,Amount,Currency
2000-05-22,0.03933,GBP
2000-08-14,2.05095,GBP
2001-05-23,0.0413,GBP
2001-08-15,0.02472,GBP
2002-05-22,5.11334,GBP
2002-08-14,0.0281,GBP
2003-05-21,0.059,GBP
2003-08-13,0.03371,GBP
2004-05-19,0.07305,GBP
2004-08-11,0.04214,GBP
2005-05-18,9.83334,GBP
2005-08-10,0.05338,GBP
2006-05-17,0.64057,GBP
2006-08-09,0.08429,GBP
2006-12-31,0.25286,GBP
2007-05-16,16.85715,GBP
2007-08-08,0.0885,GBP
2007-12-31,0.09204,GBP
2008-05-21,0.177,GBP
2008-08-06,9.20401,GBP
2011-05-18,0.066,GBP
2011-08-03,0.036,GBP
2012-05-16,0.074,GBP
2012-08-08,0.04,GBP
2013-05-22,0.105,GBP
2013-08-14,0.057,GBP
2014-05-28,0.117,GBP
2014-08-06,0.063,GBP
2015-05-28,0.138,GBP
2015-08-06,0.068,GBP
2016-05-26,0.141,GBP
2016-08-04,0.07,GBP
2017-05-18,0.168,GBP
2017-08-03,0.079,GBP
2018-05-17,0.189,GBP
2018-08-02,0.089,GBP
2019-05-16,0.179,GBP
2019-08-01,0.089,GBP
2020-05-14,0.179,GBP
2021-05-13,0.069,GBP
2021-08-05,0.064,GBP
2022-05-12,0.161,GBP
2022-08-04,0.075,GBP
2023-05-11,0.213,GBP
2023-08-03,0.096,GBP
2024-05-02,0.243,GBP
2024-08-08,0.113,GBP
