Date,Amount,Currency
2000-01-31,0.02529,GBP
2000-06-19,0.01289,GBP
2001-01-22,0.02124,GBP
2001-07-25,0.00946,GBP
2002-01-23,0.00946,GBP
2002-07-24,0.00946,GBP
2003-01-22,0.00946,GBP
2003-07-23,0.00946,GBP
2003-12-17,0.00946,GBP
2004-04-21,0.005,GBP
2004-11-10,0.011,GBP
2005-04-20,0.013,GBP
2005-11-09,0.0132,GBP
2006-04-19,0.018,GBP
2006-11-08,0.0135,GBP
2006-12-31,0.0315,GBP
2007-04-18,0.018,GBP
2007-11-07,0.0135,GBP
2007-12-31,0.0315,GBP
2008-04-16,0.018,GBP
2008-11-05,0.00675,GBP
2008-12-31,0.0068,GBP
2011-11-02,0.004,GBP
2012-05-02,0.012,GBP
2012-10-31,0.008,GBP
2013-05-01,0.04,GBP
2013-10-30,0.011,GBP
2014-04-30,0.024,GBP
2014-10-30,0.014,GBP
2015-04-30,0.033,GBP
2015-10-29,0.019,GBP
2016-04-28,0.041,GBP
2016-10-27,0.024,GBP
2017-04-27,0.048,GBP
2017-10-26,0.0252,GBP
2018-04-12,0.0528,GBP
2018-10-25,0.026,GBP
2019-04-11,0.054,GBP
2019-10-24,0.026,GBP
2020-04-09,5.4,GBP
2022-04-14,0.033,GBP
2022-10-20,0.017,GBP
2023-04-13,0.033,GBP
2023-10-19,0.017,GBP
2024-04-11,0.033,GBP
2024-10-17,0.017,GBP
