Date,Amount,Currency
2007-04-25,0.006,GBP
2008-04-30,0.01,GBP
2008-09-10,0.006,GBP
2009-04-29,0.012,GBP
2009-09-09,0.008,GBP
2010-04-28,0.016,GBP
2010-09-08,0.0085,GBP
2011-04-20,0.0175,GBP
2011-09-07,0.009,GBP
2012-04-25,0.02,GBP
2012-09-05,0.01,GBP
2013-05-01,0.022,GBP
2013-09-04,0.011,GBP
2014-04-30,0.025,GBP
2014-09-03,0.0125,GBP
2015-04-30,0.0275,GBP
2015-09-03,0.014,GBP
2016-04-28,0.031,GBP
2016-09-08,0.0155,GBP
2017-04-27,0.0355,GBP
2017-09-07,0.0175,GBP
2018-04-26,0.0395,GBP
2018-09-06,0.0195,GBP
2019-04-25,0.0435,GBP
2019-09-05,0.0215,GBP
2020-04-23,0.048,GBP
2024-05-02,0.01,GBP
2024-09-05,0.0033,GBP
