Date,Amount,Currency
2010-06-16,0.006,GBP
2011-06-15,0.008,GBP
2011-12-21,0.012,GBP
2012-08-01,0.022,GBP
2012-12-19,0.012,GBP
2013-07-31,0.02,GBP
2013-12-18,0.012,GBP
2014-06-04,0.017,GBP
2014-12-18,0.012,GBP
2015-06-04,0.02,GBP
2015-12-17,0.012,GBP
2016-06-02,0.02,GBP
2016-12-01,0.012,GBP
2017-06-15,0.035,GBP
2017-12-21,0.012,GBP
2018-06-14,0.055,GBP
2018-12-13,0.012,GBP
2019-06-13,0.055,GBP
2019-12-12,0.012,GBP
2020-06-25,0.055,GBP
2020-12-17,0.012,GBP
2021-06-24,0.055,GBP
2021-12-16,0.012,GBP
2022-06-23,0.055,GBP
2022-12-22,0.012,GBP
2023-06-29,0.078,GBP
2023-12-28,0.025,GBP
2024-06-27,0.08,GBP
2024-12-19,0.03,GBP
