Date,Amount,Currency
2000-06-19,0.15751,GBP
2000-12-11,0.07765,GBP
2001-06-13,18.08069,GBP
2001-12-05,8.31934,GBP
2002-06-12,0.18968,GBP
2002-12-04,0.08652,GBP
2003-06-11,19.63363,GBP
2003-12-03,9.09581,GBP
2004-06-09,20.18825,GBP
2004-12-01,9.65043,GBP
2005-06-08,0.21076,GBP
2005-11-30,10.09413,GBP
2006-06-07,0.23294,GBP
2006-11-29,0.10982,GBP
2007-06-13,26.2891,GBP
2007-12-05,11.75799,GBP
2008-06-11,0.2884,GBP
2008-12-03,12.31262,GBP
2009-06-10,28.84036,GBP
2009-12-02,12.31262,GBP
2010-06-09,30.94793,GBP
2010-12-01,13.86556,GBP
2011-06-08,37.1597,GBP
2011-11-30,16.63867,GBP
2012-08-01,123.2494,GBP
2012-11-28,0.16412,GBP
2013-06-12,0.43941,GBP
2013-11-27,0.18,GBP
2014-06-11,0.48177,GBP
2014-11-27,19.58825,GBP
2015-06-11,52.41179,GBP
2016-01-07,20.64707,GBP
2016-06-09,0.52,GBP
2016-11-24,0.205,GBP
2017-06-08,0.545,GBP
2017-11-30,0.2175,GBP
2018-06-07,0.5825,GBP
2018-11-29,0.2325,GBP
2019-06-06,0.6225,GBP
2019-11-28,0.245,GBP
2020-06-18,0.31125,GBP
2020-11-26,0.2,GBP
2021-06-10,0.5,GBP
2021-12-02,0.22,GBP
2022-06-09,0.55,GBP
2022-12-08,0.22,GBP
2023-06-08,0.55,GBP
2023-11-30,0.22,GBP
2024-06-06,0.55,GBP
2024-12-05,0.22,GBP
