Date,Amount,Currency
2000-04-10,9.96738,GBP
2000-09-25,0.04034,GBP
2001-04-04,0.10679,GBP
2001-09-26,0.03754,GBP
2002-04-03,6.6104,GBP
2002-10-02,0.03943,GBP
2003-04-02,0.06914,GBP
2003-09-24,0.035,GBP
2004-03-31,0.0615,GBP
2004-09-22,0.0385,GBP
2005-03-30,0.068,GBP
2005-09-21,0.0385,GBP
2006-04-05,0.068,GBP
2006-09-20,0.0385,GBP
2007-04-04,0.068,GBP
2007-10-03,0.0385,GBP
2008-04-16,0.034,GBP
2008-10-08,0.0193,GBP
2009-05-06,0.034,GBP
2009-10-07,0.0193,GBP
2010-05-05,0.03575,GBP
2010-10-06,0.01925,GBP
2011-05-04,0.05145,GBP
2011-10-05,0.0247,GBP
2012-05-02,0.0637,GBP
2012-10-10,0.0309,GBP
2013-05-08,0.0637,GBP
2013-10-09,0.0312,GBP
2014-05-14,0.0678,GBP
2014-06-25,0.042,GBP
2014-10-09,0.0315,GBP
2015-05-14,0.0685,GBP
2015-10-08,0.0318,GBP
2016-05-05,0.0692,GBP
2016-10-06,0.0325,GBP
2017-05-04,0.0715,GBP
2017-10-05,0.0333,GBP
2018-05-03,0.0749,GBP
2018-10-04,0.0333,GBP
2019-06-06,0.0749,GBP
2019-10-03,0.0333,GBP
2021-06-03,0.0825,GBP
2021-10-07,0.038,GBP
2022-05-19,0.086,GBP
2022-10-06,0.038,GBP
2023-05-25,0.086,GBP
2023-10-12,0.038,GBP
2024-05-16,0.086,GBP
2024-10-10,0.038,GBP
