Date,Amount,Currency
2000-04-10,0.0283,GBP
2000-09-11,0.0148,GBP
2001-04-04,0.0323,GBP
2001-09-12,0.0163,GBP
2002-04-03,0.0346,GBP
2002-09-11,0.0167,GBP
2003-04-02,0.0325,GBP
2003-09-10,0.0157,GBP
2004-03-31,0.0333,GBP
2004-09-08,0.0161,GBP
2005-03-30,0.0345,GBP
2005-09-07,0.0165,GBP
2006-04-19,0.0363,GBP
2006-09-06,0.0174,GBP
2007-04-18,0.0381,GBP
2007-09-05,0.0187,GBP
2008-04-16,0.041,GBP
2008-09-03,0.0201,GBP
2009-04-15,0.0205,GBP
2009-09-02,0.0111,GBP
2010-04-14,0.0273,GBP
2010-09-01,0.0133,GBP
2011-04-20,0.0342,GBP
2011-09-07,0.0166,GBP
2012-04-18,0.0474,GBP
2012-08-29,0.0196,GBP
2013-04-24,0.0569,GBP
2013-08-28,0.024,GBP
2014-04-23,0.069,GBP
2014-08-27,0.029,GBP
2015-04-23,0.0835,GBP
2015-08-13,0.0345,GBP
2016-04-28,0.0995,GBP
2016-08-18,0.04,GBP
2017-04-27,0.1035,GBP
2017-08-17,0.043,GBP
2018-04-26,0.1105,GBP
2018-08-16,0.046,GBP
2019-04-25,0.1182,GBP
2019-08-15,0.0493,GBP
2020-04-23,0.1264,GBP
2020-08-13,0.0493,GBP
2021-04-15,0.1264,GBP
2021-08-12,0.0518,GBP
2022-04-21,0.1327,GBP
2022-08-18,0.0544,GBP
2023-04-27,0.1393,GBP
2023-08-24,0.0571,GBP
2024-04-25,0.1463,GBP
2024-08-22,0.06,GBP
