Date,Amount,Currency
2008-07-02,0.016,GBP
2008-12-03,0.02,GBP
2009-06-17,0.02,GBP
2009-11-25,0.022,GBP
2010-03-03,0.022,GBP
2010-12-01,0.03,GBP
2011-06-08,0.033,GBP
2011-11-30,0.035,GBP
2012-06-13,0.035,GBP
2012-11-21,0.035,GBP
2013-06-12,0.035,GBP
2013-12-04,0.035,GBP
2014-06-11,0.035,GBP
2014-12-04,0.035,GBP
2015-06-11,0.02,GBP
2015-12-03,0.035,GBP
2016-03-17,0.0375,GBP
2016-09-01,0.018,GBP
2016-12-08,0.018,GBP
2017-03-16,0.018,GBP
2017-06-08,0.021,GBP
2017-08-31,0.0185,GBP
2017-12-07,0.0185,GBP
2018-03-15,0.0185,GBP
2018-06-07,0.0235,GBP
2018-08-30,0.019,GBP
2018-12-06,0.019,GBP
2019-03-14,0.019,GBP
2019-06-06,0.025,GBP
2019-08-29,0.02,GBP
2019-12-05,0.02,GBP
2020-03-12,0.02,GBP
2020-06-18,0.023,GBP
2020-08-27,0.021,GBP
2020-11-26,0.021,GBP
2021-03-11,0.021,GBP
2021-06-10,0.0235,GBP
2021-09-02,0.022,GBP
2021-11-25,0.022,GBP
2022-03-10,0.022,GBP
2022-06-09,0.0265,GBP
2022-09-01,0.023,GBP
2022-12-01,0.023,GBP
2023-03-09,0.023,GBP
2023-06-01,0.026,GBP
2023-08-31,0.024,GBP
2023-11-30,0.024,GBP
2024-02-29,0.024,GBP
2024-06-13,0.03,GBP
2024-08-29,0.0285,GBP
2024-12-05,0.0285,GBP
