Date,Amount,Currency
2000-03-06,0.041,GBP
2000-08-07,0.026,GBP
2001-03-07,0.042,GBP
2001-08-08,0.0266,GBP
2002-03-06,0.0424,GBP
2002-08-07,0.0266,GBP
2003-03-12,0.0424,GBP
2003-08-06,0.0266,GBP
2004-03-10,0.0424,GBP
2004-08-04,0.028,GBP
2005-03-16,0.0475,GBP
2005-08-10,0.031,GBP
2006-03-15,0.0595,GBP
2006-08-09,0.034,GBP
2007-03-14,0.071,GBP
2007-08-08,0.04,GBP
2008-03-12,0.08,GBP
2008-08-06,0.042,GBP
2009-03-11,0.08,GBP
2009-08-12,0.042,GBP
2010-03-03,0.08,GBP
2010-08-11,0.042,GBP
2011-03-16,0.085,GBP
2011-08-03,0.045,GBP
2012-03-28,0.09,GBP
2012-08-08,0.045,GBP
2013-03-20,0.0975,GBP
2013-08-14,0.045,GBP
2014-03-19,0.105,GBP
2014-08-13,0.047,GBP
2015-03-19,0.11,GBP
2015-08-13,0.052,GBP
2016-03-17,0.11,GBP
2016-08-11,0.052,GBP
2017-03-16,0.115,GBP
2017-08-10,0.055,GBP
2018-03-15,0.118,GBP
2018-08-09,0.06,GBP
2019-03-14,0.129,GBP
2019-08-08,0.066,GBP
2020-03-12,0.194,GBP
2020-06-25,0.065,GBP
2020-09-24,0.065,GBP
2020-12-24,0.065,GBP
2021-03-11,0.08,GBP
2021-06-03,0.06875,GBP
2021-10-07,0.06875,GBP
2021-12-23,0.06875,GBP
2022-03-10,0.08375,GBP
2022-06-01,0.0725,GBP
2022-10-06,0.0725,GBP
2022-12-22,0.0725,GBP
2023-03-09,0.0875,GBP
2023-06-01,0.07625,GBP
2023-10-05,0.07625,GBP
2023-12-21,0.07625,GBP
2024-03-07,0.09125,GBP
2024-05-30,0.08,GBP
2024-09-26,0.08,GBP
2024-12-19,0.08,GBP
2025-03-20,0.095,GBP
