Date,Amount,Currency
2000-03-13,0.06,GBP
2000-08-29,0.03,GBP
2001-03-07,0.075,GBP
2001-08-22,0.04,GBP
2002-03-13,0.1,GBP
2002-08-28,0.0425,GBP
2003-03-05,0.1075,GBP
2003-08-20,0.0475,GBP
2004-03-03,0.1175,GBP
2004-08-18,0.0525,GBP
2005-03-16,0.1325,GBP
2005-08-17,0.07,GBP
2006-04-05,0.18,GBP
2006-08-31,0.08,GBP
2007-04-04,0.2,GBP
2007-08-15,0.1,GBP
2008-04-09,0.28,GBP
2008-08-13,0.12,GBP
2009-04-15,0.3,GBP
2009-08-26,0.12,GBP
2010-03-10,0.3,GBP
2010-08-18,0.12,GBP
2011-04-20,0.3,GBP
2011-08-17,0.12,GBP
2012-04-25,0.3,GBP
2012-09-26,0.12,GBP
2013-05-01,0.15,GBP
2013-09-25,0.12,GBP
2014-04-30,0.15,GBP
2014-10-01,0.12,GBP
2015-04-30,0.15,GBP
2015-10-01,0.12,GBP
2016-04-28,0.17,GBP
2016-10-13,0.13,GBP
2017-04-27,0.22,GBP
2017-10-12,0.16,GBP
2018-04-26,0.29,GBP
2018-10-11,0.19,GBP
2019-04-25,0.34,GBP
2019-10-10,0.21,GBP
2020-04-23,0.38,GBP
2020-11-12,0.21,GBP
2021-04-29,0.4,GBP
2021-10-07,0.3,GBP
2022-04-28,0.62,GBP
2022-10-06,0.33,GBP
2023-04-27,0.68,GBP
2023-10-05,0.36,GBP
2024-04-25,0.78,GBP
2024-10-03,0.415,GBP
