Date,Amount,Currency
2000-05-30,0.06216,GBP
2000-11-13,4.33922,GBP
2001-05-30,0.06216,GBP
2001-11-14,0.04339,GBP
2002-05-29,0.05506,GBP
2002-11-13,3.79752,GBP
2003-05-28,0.06171,GBP
2003-11-12,0.04177,GBP
2004-06-02,6.74059,GBP
2004-11-17,4.36714,GBP
2005-06-01,7.12034,GBP
2005-11-16,0.04557,GBP
2006-05-31,0.08734,GBP
2006-11-15,5.98109,GBP
2007-05-30,0.11393,GBP
2007-11-14,0.0788,GBP
2008-05-28,0.13481,GBP
2008-11-12,0.0788,GBP
2009-05-27,0.09019,GBP
2009-11-11,0.05222,GBP
2010-06-02,9.0191,GBP
2010-11-17,0.05886,GBP
2011-06-01,0.10253,GBP
2011-11-16,5.88615,GBP
2012-05-30,0.10253,GBP
2012-11-14,5.88615,GBP
2013-05-29,0.10253,GBP
2013-11-13,0.05886,GBP
2014-05-28,0.10253,GBP
2014-11-13,6.07603,GBP
2015-05-28,11.0128,GBP
2015-11-12,6.45578,GBP
2016-06-02,4.36714,GBP
2016-11-17,6.45578,GBP
2017-06-01,0.11298,GBP
2017-11-16,6.45578,GBP
2018-05-31,11.29761,GBP
2018-11-15,0.06456,GBP
2019-05-30,0.071,GBP
2019-11-14,0.039,GBP
2023-11-16,0.01,GBP
2024-05-30,0.02,GBP
2024-11-28,0.01,GBP
