Date,Amount,Currency
2008-03-19,0.0163,GBP
2008-09-17,0.013,GBP
2009-03-25,0.022,GBP
2009-09-16,0.0493,GBP
2010-03-03,0.0491,GBP
2010-08-18,0.013,GBP
2011-04-06,0.0253,GBP
2011-08-17,0.015,GBP
2012-03-28,0.0303,GBP
2012-08-15,0.018,GBP
2013-03-20,0.0394,GBP
2013-06-12,0.1292,GBP
2013-08-14,0.0216,GBP
2014-03-19,0.0512,GBP
2014-08-13,0.0231,GBP
2015-03-26,0.0569,GBP
2015-08-13,0.0255,GBP
2016-03-31,0.066,GBP
2016-08-18,0.0275,GBP
2017-04-06,0.071,GBP
2017-08-03,0.0284,GBP
2018-04-05,0.076,GBP
2018-08-02,0.0295,GBP
2019-04-04,0.081,GBP
2019-05-02,0.0746,GBP
2019-08-01,0.031,GBP
2020-04-01,8.61,GBP
2020-04-02,0.0861,GBP
2020-08-06,0.031,GBP
2021-04-08,0.0861,GBP
2021-07-29,0.031,GBP
2022-03-31,0.0861,GBP
2022-07-28,0.031,GBP
2023-03-30,0.0861,GBP
2023-08-03,0.032,GBP
2024-03-28,0.089,GBP
2024-08-01,0.033,GBP
