Date,Amount,Currency
2000-05-22,0.05613,GBP
2000-09-11,0.0316,GBP
2001-06-06,0.06319,GBP
2001-10-31,0.03317,GBP
2002-05-29,6.68771,GBP
2002-10-30,3.4755,GBP
2003-06-04,0.07056,GBP
2003-11-05,3.84412,GBP
2004-06-02,0.07741,GBP
2004-11-03,3.4755,GBP
2005-06-08,0.07129,GBP
2005-11-02,3.65373,GBP
2006-06-07,7.4857,GBP
2006-11-01,0.03832,GBP
2007-06-06,7.88672,GBP
2007-10-31,0.04055,GBP
2008-06-04,0.08288,GBP
2008-10-29,4.05475,GBP
2009-06-03,0.0145,GBP
2009-10-28,0.0175,GBP
2010-06-02,0.035,GBP
2010-10-27,0.0175,GBP
2011-06-08,0.035,GBP
2011-10-26,0.0175,GBP
2012-06-06,0.035,GBP
2012-10-24,0.0175,GBP
2013-06-05,0.035,GBP
2013-10-23,0.0175,GBP
2014-06-04,0.035,GBP
2014-10-23,0.02,GBP
2015-06-04,0.04,GBP
2015-10-22,0.0225,GBP
2016-06-02,0.0475,GBP
2016-10-20,0.029,GBP
2017-06-15,0.03,GBP
2017-10-19,0.034,GBP
2018-06-07,0.04,GBP
2018-10-18,0.04,GBP
2019-06-06,0.08,GBP
2019-10-17,0.047,GBP
2020-06-04,0.1365,GBP
2021-06-03,0.043,GBP
2021-10-21,0.047,GBP
2022-06-09,0.096,GBP
2022-10-20,0.057,GBP
2023-06-01,0.099,GBP
2023-10-19,0.026,GBP
2024-06-06,0.057,GBP
2024-10-24,0.026,GBP
