Date,Amount,Currency
2000-05-30,0.14,GBP
2000-12-04,0.08,GBP
2001-05-30,0.16,GBP
2001-11-28,0.09,GBP
2002-05-29,0.185,GBP
2002-11-06,0.1,GBP
2003-05-28,0.21,GBP
2003-11-26,0.11,GBP
2004-05-26,0.24,GBP
2004-11-24,0.13,GBP
2005-05-25,0.28,GBP
2005-11-23,0.14,GBP
2006-05-24,0.3,GBP
2006-11-22,0.155,GBP
2007-05-23,0.335,GBP
2007-11-28,0.18,GBP
2008-05-28,0.37,GBP
2008-11-26,0.18,GBP
2009-05-27,0.37,GBP
2009-11-25,0.19,GBP
2010-05-26,0.47,GBP
2010-11-24,0.25,GBP
2011-05-25,0.53,GBP
2011-11-23,0.275,GBP
2012-06-27,0.625,GBP
2012-11-21,0.31,GBP
2013-06-26,0.74,GBP
2013-11-20,0.36,GBP
2014-01-15,0.5,GBP
2014-04-02,0.5,GBP
2014-07-09,0.93,GBP
2014-12-04,0.5,GBP
2015-01-15,0.5,GBP
2015-04-09,0.6,GBP
2015-07-09,0.6,GBP
2015-10-08,0.6,GBP
2015-12-10,0.53,GBP
2016-01-14,0.6,GBP
2016-07-07,1.05,GBP
2016-12-08,0.53,GBP
2017-04-06,0.45,GBP
2017-07-06,1.05,GBP
2017-10-05,0.45,GBP
2017-12-07,0.53,GBP
2018-01-04,0.45,GBP
2018-07-05,1.05,GBP
2018-12-06,0.55,GBP
2019-07-04,1.1,GBP
2019-12-05,0.575,GBP
2021-08-12,1.1,GBP
2022-01-13,1.6,GBP
2022-07-07,1.27,GBP
2022-12-01,0.66,GBP
2023-07-06,1.4,GBP
2023-12-07,0.66,GBP
2024-07-04,1.41,GBP
2024-12-05,0.75,GBP
