Date,Amount,Currency
2000-02-21,0.024,GBP
2000-09-04,0.06,GBP
2001-02-21,0.024,GBP
2001-09-05,0.06,GBP
2002-02-20,0.024,GBP
2002-09-04,0.06,GBP
2003-02-19,0.024,GBP
2003-09-03,0.06,GBP
2004-02-25,0.024,GBP
2004-09-29,0.06,GBP
2005-02-23,0.024,GBP
2005-09-28,0.06,GBP
2006-03-08,0.024,GBP
2006-09-27,0.06,GBP
2007-03-07,0.024,GBP
2007-09-26,0.06,GBP
2008-02-27,0.024,GBP
2008-09-24,0.06,GBP
2009-03-04,0.024,GBP
2009-09-30,0.06,GBP
2010-03-03,0.024,GBP
2010-09-29,0.06,GBP
2011-03-02,0.0252,GBP
2011-09-28,0.0648,GBP
2012-03-07,0.02772,GBP
2012-09-26,0.07228,GBP
2013-03-06,0.0305,GBP
2013-09-25,0.0815,GBP
2014-03-05,0.0336,GBP
2014-09-24,0.0904,GBP
2015-03-05,0.037,GBP
2015-09-24,0.093,GBP
2016-03-10,0.037,GBP
2016-09-22,0.093,GBP
2017-03-09,0.037,GBP
2017-09-21,0.093,GBP
2018-02-22,0.037,GBP
2018-09-13,0.096,GBP
2019-02-28,0.038,GBP
2019-09-12,0.106,GBP
2020-03-05,0.041,GBP
2021-03-04,0.041,GBP
2021-09-09,0.129,GBP
2021-12-02,0.044,GBP
2022-07-14,0.137,GBP
2022-12-01,0.046,GBP
2023-07-13,0.149,GBP
2023-08-03,0.149,GBP
2023-11-30,0.049,GBP
2024-07-11,0.159,GBP
2024-11-28,0.051,GBP
