Date,Amount,Currency
2010-04-06,0.10808,GBP
2010-09-08,0.13149,GBP
2011-04-06,0.1315,GBP
2011-09-07,0.15658,GBP
2012-04-04,0.12632,GBP
2012-09-05,0.13113,GBP
2013-04-03,0.2042,GBP
2013-09-04,0.17101,GBP
2014-04-02,0.2042,GBP
2014-09-03,0.2042,GBP
2015-03-26,0.2042,GBP
2015-08-27,0.17101,GBP
2016-04-07,0.17101,GBP
2016-09-08,0.17101,GBP
2017-03-30,0.17999,GBP
2017-09-07,0.18957,GBP
2018-03-22,0.18903,GBP
2018-09-06,0.18927,GBP
2019-03-21,0.19597,GBP
2019-08-15,0.234,GBP
2020-04-02,0.19597,GBP
2020-08-13,0.19597,GBP
2021-04-01,0.2024,GBP
2021-08-19,0.20183,GBP
2022-03-31,0.20769,GBP
2022-08-25,0.20769,GBP
2023-03-30,0.26,GBP
2023-09-28,0.26,GBP
2024-04-11,0.22382,GBP
2024-10-03,0.2665,GBP
