Date,Amount,Currency
2000-02-28,0.00018,GBX
2000-08-21,0.00038,GBX
2001-02-28,0.00014,GBX
2001-08-22,0.00029,GBX
2002-03-06,0.00014,GBX
2002-08-28,0.0003,GBX
2003-03-05,0.00015,GBX
2003-07-09,0.00031,GBX
2004-01-07,0.00015,GBX
2004-07-07,0.00032,GBX
2005-01-26,0.00016,GBX
2005-08-03,0.00034,GBX
2006-03-15,0.00004,GBX
2006-08-02,77810.98383,GBX
2007-01-24,12968.50649,GBX
2007-08-08,28153.83743,GBX
2008-01-23,13855.24259,GBX
2008-08-06,30060.31883,GBX
2009-01-21,14963.65874,GBX
2009-08-12,31589.93466,GBX
2010-01-20,15407.02679,GBX
2010-08-11,34582.66874,GBX
2011-01-19,16626.28175,GBX
2011-08-10,38018.76467,GBX
2012-02-01,18222.40386,GBX
2012-02-02,121.48878,GBX
2012-08-08,40568.12991,GBX
2012-08-09,270.45918,GBX
2013-01-30,19419.49749,GBX
2013-01-31,129.46586,GBX
2013-08-07,43671.70179,GBX
2013-08-08,291.14753,GBX
2014-01-29,20816.10251,GBX
2014-01-30,138.77883,GBX
2014-08-06,46376.22182,GBX
2015-01-29,21902.35503,GBX
2015-08-06,47084.95088,GBX
2016-01-28,15.69,GBX
2016-07-07,34.68,GBX
2017-02-02,16.635,GBX
2017-07-06,37.305,GBX
2018-01-25,17.955,GBX
2018-07-05,39.93,GBX
2019-01-24,19.26,GBX
2019-07-25,42.33,GBX
2020-01-23,20.49,GBX
2020-07-23,45.165,GBX
2021-01-28,10.155,GBX
2021-07-05,355,GBX
2021-07-22,22.46,GBX
2022-01-27,11.7,GBX
2022-07-21,26.83,GBX
2023-01-26,12.96,GBX
2023-07-20,29.77,GBX
2024-01-25,14.04,GBX
2024-07-25,30.33,GBX
2025-01-30,14.69,GBX
