Date,Amount,Currency
2002-01-09,0.0045,GBP
2003-01-08,0.012,GBP
2004-01-07,0.0055,GBP
2005-01-05,0.012,GBP
2006-01-04,0.018,GBP
2007-01-03,0.024,GBP
2008-01-02,0.035,GBP
2008-12-31,0.007,GBP
2009-12-30,0.001,GBP
2010-12-29,0.002,GBP
2012-01-04,0.0143,GBP
2013-01-03,0.02,GBP
2014-01-08,0.05,GBP
2015-01-08,0.05,GBP
2015-06-11,0.0175,GBP
2015-12-17,0.035,GBP
2016-06-09,0.018,GBP
2016-12-22,0.036,GBP
2017-06-15,0.06,GBP
2018-01-04,0.06,GBP
2018-03-29,0.031,GBP
2018-06-28,0.031,GBP
2018-09-20,0.031,GBP
2018-12-20,0.031,GBP
2019-03-21,0.032,GBP
2019-06-20,0.032,GBP
2019-09-19,0.032,GBP
2019-12-19,0.032,GBP
2020-03-19,0.033,GBP
2020-06-25,0.033,GBP
2020-09-24,0.033,GBP
2020-12-24,0.033,GBP
2021-03-18,0.034,GBP
2021-06-24,0.034,GBP
2021-09-23,0.034,GBP
2021-12-23,0.034,GBP
2022-03-17,0.036,GBP
2022-06-23,0.036,GBP
2022-09-22,0.036,GBP
2022-12-22,0.036,GBP
2023-03-16,0.04,GBP
2023-06-22,0.04,GBP
2023-09-21,0.04,GBP
2023-12-21,0.04,GBP
2024-03-21,0.042,GBP
2024-06-20,0.042,GBP
2024-09-19,0.042,GBP
2024-12-12,0.042,GBP
2025-03-20,0.044,GBP
