Date,Amount,Currency
2019-02-21,0.1,GBP
2019-05-23,0.1,GBP
2019-08-22,0.1,GBP
2019-11-21,0.1,GBP
2020-02-20,0.1,GBP
2020-05-21,0.1,GBP
2020-08-20,0.1,GBP
2020-11-19,0.1,GBP
2021-02-18,0.1,GBP
2021-05-20,0.1,GBP
2021-08-19,0.1,GBP
2021-11-18,0.1,GBP
2022-02-17,0.1,GBP
2022-05-19,0.125,GBP
2022-08-18,0.125,GBP
2022-11-17,0.125,GBP
2023-02-16,0.1307,GBP
2023-05-18,0.1307,GBP
2023-08-17,0.1307,GBP
2023-11-16,0.1307,GBP
2024-02-15,0.1456,GBP
2024-05-16,0.1456,GBP
2024-08-15,0.1456,GBP
2024-11-14,0.1456,GBP
2025-02-13,0.1646,GBP
