Date,Amount,Currency
2000-04-10,0.14,GBP
2000-09-18,0.1,GBP
2001-04-11,0.15,GBP
2001-09-12,0.1,GBP
2002-04-10,0.16,GBP
2002-09-11,0.1,GBP
2003-04-09,0.16,GBP
2003-09-17,0.1,GBP
2004-04-14,0.16,GBP
2004-09-22,0.105,GBP
2005-04-13,0.17,GBP
2005-09-21,0.115,GBP
2006-04-12,0.185,GBP
2006-09-20,0.135,GBP
2007-04-11,0.215,GBP
2007-09-19,0.16,GBP
2008-04-16,0.25,GBP
2008-09-17,0.16,GBP
2009-04-15,0.26,GBP
2009-09-16,0.16,GBP
2010-03-03,0.26,GBP
2010-09-15,0.16,GBP
2011-04-27,0.28,GBP
2011-09-14,0.17,GBP
2012-04-25,0.29,GBP
2012-09-12,0.17,GBP
2013-04-24,0.3,GBP
2013-09-11,0.18,GBP
2014-04-23,0.31,GBP
2014-09-10,0.19,GBP
2015-04-23,0.33,GBP
2015-09-10,0.21,GBP
2016-04-28,0.34,GBP
2016-09-08,0.21,GBP
2017-04-20,0.36,GBP
2017-09-07,0.22,GBP
2018-04-19,0.39,GBP
2018-09-06,0.24,GBP
2019-04-18,0.42,GBP
2019-09-05,0.25,GBP
2020-04-23,0.45,GBP
2020-09-03,0.25,GBP
2021-04-22,0.47,GBP
2021-09-02,0.27,GBP
2022-04-21,0.54,GBP
2022-09-01,0.28,GBP
2023-04-20,0.56,GBP
2023-08-03,0.29,GBP
2023-09-19,0.34,GBP
2024-04-18,0.24,GBP
2024-09-05,0.3,GBP
