Date,Amount,Currency
2002-09-04,0.127,GBX
2003-02-26,0.128,GBX
2003-09-03,0.14,GBX
2004-03-03,0.14,GBX
2004-08-11,0.16,GBX
2005-03-02,0.18,GBX
2005-08-10,0.18,GBX
2006-03-01,0.21,GBX
2006-08-09,0.205,GBX
2007-02-28,0.25,GBX
2007-08-08,0.25,GBX
2008-02-27,0.3,GBX
2008-08-06,0.32,GBX
2009-02-25,0.48,GBX
2009-08-05,0.43,GBX
2010-02-24,0.57,GBX
2010-08-04,0.5,GBX
2011-02-23,0.65,GBX
2011-08-03,0.55,GBX
2012-02-22,0.7,GBX
2012-08-08,0.56,GBX
2013-02-20,0.78,GBX
2013-08-07,0.6,GBX
2014-02-19,0.77,GBX
2014-08-06,0.6,GBX
2015-04-16,0.79,GBX
2015-08-13,0.503,GBX
2016-04-14,0.887,GBX
2016-08-18,0.582,GBX
2017-04-13,0.95,GBX
2017-08-17,0.666,GBX
2018-04-12,0.977,GBX
2018-08-16,0.705,GBX
2019-04-18,1.002,GBX
2019-08-22,0.73,GBX
2020-04-16,1.016,GBX
2020-08-20,0.73,GBX
2021-05-06,1.016,GBX
2021-08-05,0.73,GBX
2022-04-28,1.016,GBX
2022-08-04,0.73,GBX
2023-04-06,1.103,GBX
2023-08-03,0.766,GBX
2024-04-11,1.159,GBX
2024-08-01,0.804,GBX
