Date,Amount,Currency
2000-06-26,0.083,GBP
2000-12-11,0.0425,GBP
2001-06-27,0.0955,GBP
2001-12-12,0.049,GBP
2002-06-19,0.11,GBP
2002-12-18,0.0525,GBP
2003-06-18,0.1175,GBP
2003-12-17,0.056,GBP
2004-06-23,0.126,GBP
2004-12-15,0.058,GBP
2005-06-22,0.126,GBP
2005-12-14,0.058,GBP
2006-06-28,0.126,GBP
2006-12-13,0.058,GBP
2007-06-27,0.126,GBP
2007-12-12,0.058,GBP
2008-06-25,0.126,GBP
2008-12-10,0.05,GBP
2009-06-24,0.06,GBP
2009-12-09,0.05,GBP
2010-06-23,0.06,GBP
2010-12-08,0.05,GBP
2011-06-22,0.065,GBP
2011-12-07,0.05,GBP
2012-06-20,0.0675,GBP
2012-12-05,0.05,GBP
2013-06-19,0.0675,GBP
2013-12-04,0.05,GBP
2014-06-25,0.0675,GBP
2014-12-04,5,GBP
2015-06-25,6.75,GBP
2015-12-03,5,GBP
2016-06-16,6.75,GBP
2016-12-01,5,GBP
2017-06-15,7.3,GBP
2017-11-30,5.25,GBP
2018-06-14,8,GBP
2018-11-29,5.3,GBP
2019-06-13,9.5,GBP
2019-11-28,5.9,GBP
2020-11-19,9.5,GBP
2021-01-07,6.1,GBP
2021-06-17,9.8,GBP
2021-11-25,6.4,GBP
2022-06-16,11.6,GBP
2022-11-24,7.2,GBP
2023-06-15,13.7,GBP
2023-11-23,8.3,GBP
2024-06-13,13.7,GBP
2024-11-21,8.5,GBP
