Date,Amount,Currency
2000-07-10,0.24172,GBP
2000-12-11,12.77639,GBP
2001-07-11,0.25553,GBP
2001-12-19,13.1217,GBP
2002-07-17,26.24339,GBP
2002-12-18,0.13122,GBP
2003-07-16,26.24339,GBP
2003-12-17,13.1217,GBP
2004-07-14,26.24339,GBP
2004-12-15,13.1217,GBP
2005-07-13,0.26243,GBP
2005-12-14,13.1217,GBP
2006-07-12,0.26243,GBP
2006-12-13,0.13122,GBP
2007-07-11,27.62462,GBP
2007-12-12,0.13812,GBP
2008-07-09,29.00585,GBP
2008-12-10,14.50293,GBP
2009-12-09,0.08691,GBP
2010-07-07,17.38279,GBP
2010-12-08,8.6914,GBP
2011-07-06,0.19556,GBP
2011-12-07,0.09561,GBP
2012-07-04,20.42478,GBP
2012-12-05,9.56054,GBP
2013-07-03,20.42478,GBP
2013-12-04,0.09561,GBP
2014-07-02,20.42478,GBP
2014-12-04,0.09561,GBP
2015-07-02,0.20425,GBP
2015-12-03,9.56054,GBP
2016-06-30,20.42478,GBP
2016-11-24,0.095,GBP
2017-06-29,0.21,GBP
2017-11-30,0.095,GBP
2018-06-28,0.21,GBP
2018-11-29,0.095,GBP
2019-06-27,0.05,GBP
2019-11-28,0.045,GBP
2024-06-27,0.05,GBP
