Date,Amount,Currency
2000-01-24,0.005,GBP
2003-01-15,0.004,GBP
2004-01-14,0.0075,GBP
2004-12-29,0.011,GBP
2005-12-28,0.019,GBP
2007-01-03,0.017,GBP
2008-01-02,0.015,GBP
2008-12-31,0.024,GBP
2009-12-23,0.0265,GBP
2011-01-05,0.0265,GBP
2012-01-11,0.0275,GBP
2013-01-02,0.0335,GBP
2013-12-31,0.0335,GBP
2015-01-08,0.0275,GBP
2015-12-24,0.042,GBP
2016-12-29,0.0475,GBP
2017-12-28,0.056,GBP
2018-12-27,0.095,GBP
2020-01-02,0.097,GBP
2020-12-24,0.08,GBP
2021-12-30,0.097,GBP
2022-12-29,0.12,GBP
2023-12-28,0.12,GBP
2024-12-24,0.125,GBP
