Date,Amount,Currency
2015-07-23,0.01,GBP
2015-11-12,0.00986,GBP
2016-01-28,0.015,GBP
2016-04-28,0.015,GBP
2016-07-28,0.015,GBP
2016-10-27,0.01479,GBP
2017-01-26,0.01479,GBP
2017-04-27,0.015,GBP
2017-07-27,0.01479,GBP
2017-10-26,0.015,GBP
2018-01-25,0.015,GBP
2018-04-26,0.01479,GBP
2018-07-26,0.01479,GBP
2018-10-25,0.01489,GBP
2019-01-24,0.015,GBP
2019-05-02,0.015,GBP
2019-07-25,0.01563,GBP
2019-10-24,0.01558,GBP
2020-01-23,0.01558,GBP
2020-04-23,0.01563,GBP
2020-07-23,0.01563,GBP
2020-10-22,0.01563,GBP
2021-01-28,0.01563,GBP
2021-04-29,0.01563,GBP
2021-07-29,0.01563,GBP
2021-10-28,0.01563,GBP
2022-01-27,0.01563,GBP
2022-04-28,0.01563,GBP
2022-07-28,0.01563,GBP
2022-10-27,0.01563,GBP
2023-01-26,0.01719,GBP
2023-04-27,1.71875,GBP
2023-07-27,0.01719,GBP
2023-10-26,0.01719,GBP
2024-01-25,0.01719,GBP
2024-04-25,1.71875,GBP
2024-07-25,0.01719,GBP
2024-10-24,1.71875,GBP
2025-01-30,1.71875,GBP
