Date,Amount,Currency
2010-10-06,0.005,GBP
2011-04-13,0.01,GBP
2011-08-24,0.005,GBP
2012-05-16,0.01,GBP
2012-08-22,0.005,GBP
2013-05-23,0.01,GBP
2013-08-29,0.005,GBP
2014-05-22,0.01,GBP
2014-09-03,0.005,GBP
2015-05-28,0.01,GBP
2015-09-03,0.005,GBP
2016-05-26,0.01,GBP
2016-09-08,0.005,GBP
2017-04-20,0.01,GBP
2017-09-07,0.005,GBP
2018-04-19,0.01,GBP
2018-08-30,0.005,GBP
2019-04-11,0.01,GBP
2019-04-18,0.01,GBP
2019-08-29,0.005,GBP
2020-04-16,0.01,GBP
2021-08-26,0.005,GBP
2022-06-09,0.01,GBP
2022-08-25,0.008,GBP
2023-03-02,0.017,GBP
2023-08-24,0.015,GBP
2024-04-25,0.0165,GBP
2024-08-22,0.017,GBP
