Date,Amount,Currency
2000-03-27,0.1215,GBP
2000-10-09,23.54999,GBP
2001-04-18,13.12499,GBP
2001-10-03,24.37499,GBP
2002-03-20,13.12499,GBP
2002-10-16,0.25125,GBP
2003-03-19,0.13125,GBP
2003-10-15,25.87499,GBP
2004-03-17,13.12499,GBP
2004-10-20,27.37499,GBP
2005-03-23,0.13875,GBP
2005-10-19,0.29625,GBP
2006-03-22,14.77499,GBP
2006-11-01,32.24999,GBP
2007-03-28,15.74999,GBP
2007-10-24,0.235,GBP
2008-03-26,0.105,GBP
2008-10-22,0.235,GBP
2009-04-01,0.105,GBP
2009-10-21,0.235,GBP
2010-03-31,0.105,GBP
2010-10-20,0.235,GBP
2011-03-30,0.1125,GBP
2011-10-26,0.25,GBP
2012-03-21,0.1175,GBP
2012-10-24,0.2625,GBP
2013-03-27,0.125,GBP
2013-10-23,0.3,GBP
2014-03-26,0.1275,GBP
2014-10-23,0.275,GBP
2015-03-26,0.13,GBP
2015-10-22,0.28,GBP
2016-03-24,0.1325,GBP
2016-10-20,0.2875,GBP
2017-04-06,0.1355,GBP
2017-10-19,0.297,GBP
2018-04-05,0.138,GBP
2018-10-18,0.3075,GBP
2019-04-04,0.141,GBP
2019-10-17,0.318,GBP
2020-10-22,0.35,GBP
2021-04-08,0.117,GBP
2021-10-21,0.26,GBP
2022-04-07,0.123,GBP
2022-10-20,0.273,GBP
2023-04-06,0.129,GBP
2023-10-19,0.287,GBP
2024-04-04,0.1355,GBP
2024-10-17,0.302,GBP
