Date,Amount,Currency
2000-05-02,0.04889,GBP
2000-08-07,0.3714,GBP
2000-11-06,0.017,GBP
2001-04-18,0.028,GBP
2001-11-07,0.0175,GBP
2002-04-17,0.029,GBP
2002-10-16,0.018,GBP
2003-04-16,0.03,GBP
2003-08-13,0.0185,GBP
2004-04-21,0.031,GBP
2004-10-20,0.019,GBP
2005-04-20,0.032,GBP
2005-10-19,0.021,GBP
2006-04-19,0.035,GBP
2006-10-18,0.0221,GBP
2007-04-18,0.0341,GBP
2007-10-17,0.02205,GBP
2008-04-16,0.037,GBP
2008-10-15,0.02875,GBP
2009-04-15,0.05575,GBP
2009-10-14,0.03285,GBP
2010-04-21,0.05845,GBP
2010-10-13,0.0381,GBP
2011-04-27,0.05975,GBP
2011-10-12,0.04175,GBP
2012-04-18,0.067,GBP
2012-10-10,0.0613,GBP
2013-04-17,0.106,GBP
2013-10-09,0.0649,GBP
2014-04-16,0.1011,GBP
2014-10-23,0.0682,GBP
2015-04-16,0.1234,GBP
2015-10-08,0.0768,GBP
2016-04-21,0.13,GBP
2016-10-06,0.1008,GBP
2017-03-30,0.1442,GBP
2017-10-05,0.0934,GBP
2018-04-05,0.1624,GBP
2018-10-04,0.1067,GBP
2019-04-04,0.1699,GBP
2019-10-03,0.1119,GBP
2020-04-02,0.1866,GBP
2020-10-01,0.1107,GBP
2021-04-01,0.1662,GBP
2021-09-30,0.105,GBP
2022-03-31,0.184,GBP
2022-09-29,0.1291,GBP
2023-03-30,0.1838,GBP
2023-10-05,0.1189,GBP
2024-03-28,0.1849,GBP
2024-10-03,0.111,GBP
