Date,Amount,Currency
2000-09-04,0.192,GBP
2001-03-07,0.09,GBP
2001-09-05,0.21,GBP
2002-03-06,0.097,GBP
2002-09-04,0.227,GBP
2003-03-05,0.105,GBP
2003-09-03,0.245,GBP
2004-03-03,0.113,GBP
2004-08-25,0.264,GBP
2005-02-23,0.122,GBP
2005-08-24,0.303,GBP
2006-02-22,0.138,GBP
2006-08-23,0.327,GBP
2007-02-21,0.151,GBP
2007-08-22,0.399,GBP
2008-02-20,0.181,GBP
2008-08-20,0.424,GBP
2009-02-18,0.198,GBP
2009-08-19,0.462,GBP
2010-02-17,0.21,GBP
2010-07-28,0.49,GBP
2011-01-26,0.224,GBP
2011-07-27,0.526,GBP
2012-01-26,0.24,GBP
2012-07-26,0.561,GBP
2013-01-24,0.252,GBP
2013-08-01,0.59,GBP
2014-01-23,0.26,GBP
2014-07-23,0.607,GBP
2015-01-22,0.266,GBP
2015-07-23,0.618,GBP
2016-01-21,0.269,GBP
2016-07-28,0.625,GBP
2017-01-19,0.274,GBP
2017-07-27,0.639,GBP
2018-01-18,0.284,GBP
2018-07-26,0.663,GBP
2019-01-17,0.293,GBP
2019-07-25,0.682,GBP
2020-01-16,0.24,GBP
2020-07-23,0.56,GBP
2021-01-14,0.244,GBP
2021-07-29,0.566,GBP
2022-01-13,0.255,GBP
2022-07-28,0.602,GBP
2023-01-12,0.29,GBP
2023-07-27,0.677,GBP
2024-01-11,0.2,GBP
2024-07-25,0.4,GBP
2025-01-02,0.212,GBP
