Date,Amount,Currency
2006-08-23,0.024,GBP
2007-05-02,0.048,GBP
2007-11-07,0.031,GBP
2008-04-30,0.062,GBP
2008-11-05,0.04,GBP
2009-04-29,0.08,GBP
2009-11-04,0.04,GBP
2010-02-24,0.08,GBP
2010-11-03,0.04,GBP
2011-05-04,0.08,GBP
2011-11-02,0.11,GBP
2012-05-02,0.093,GBP
2012-11-07,0.047,GBP
2013-05-01,0.093,GBP
2013-11-06,0.047,GBP
2014-04-30,0.093,GBP
2014-11-06,0.047,GBP
2015-04-30,0.093,GBP
2015-11-05,0.047,GBP
2016-04-28,0.093,GBP
2016-11-03,0.047,GBP
2017-05-04,0.093,GBP
2017-11-02,0.047,GBP
2018-04-26,0.093,GBP
2018-11-01,0.047,GBP
2019-04-25,0.098,GBP
2019-10-31,0.051,GBP
2020-04-30,0.102,GBP
2021-05-06,0.05,GBP
2021-11-04,0.03,GBP
2022-05-05,0.08,GBP
2022-11-03,0.05,GBP
2023-05-11,0.11,GBP
2023-11-09,0.05,GBP
2024-05-09,0.116,GBP
2024-11-07,0.051,GBP
