Date,Amount,Currency
2018-02-15,0.01375,GBX
2018-04-26,0.01375,GBX
2018-07-26,0.01375,GBX
2018-10-18,0.01375,GBX
2019-01-17,0.01419,GBX
2019-04-18,0.01419,GBX
2019-07-18,0.01419,GBX
2019-10-17,0.01419,GBX
2020-01-16,0.0146,GBX
2020-04-30,0.0146,GBX
2020-07-16,0.0146,GBX
2020-09-24,0.01465,GBX
2021-01-21,0.01465,GBX
2021-04-15,0.01465,GBX
2021-07-15,0.01465,GBX
2021-10-07,0.01485,GBX
2022-01-20,0.01485,GBX
2022-04-21,0.01485,GBX
2022-07-14,0.01485,GBX
2022-10-06,0.015,GBX
2023-01-19,0.015,GBX
2023-04-20,0.015,GBX
2023-07-13,0.015,GBX
2023-10-12,0.01515,GBX
2024-01-11,0.01515,GBX
2024-04-11,0.01515,GBX
2024-07-11,0.01515,GBX
2024-10-10,0.0153,GBX
2025-01-30,1.53,GBX
