Date,Amount,Currency
2000-01-24,0.015,GBP
2000-07-31,0.0225,GBP
2001-04-11,0.03,GBP
2001-09-26,0.01625,GBP
2002-04-10,0.0325,GBP
2002-09-25,0.017,GBP
2003-04-09,0.034,GBP
2003-09-24,0.018,GBP
2004-04-07,0.05,GBP
2004-09-22,0.03,GBP
2005-04-13,0.1,GBP
2005-09-28,0.04,GBP
2006-04-12,0.08,GBP
2006-09-27,0.05,GBP
2007-04-11,0.11,GBP
2007-09-26,0.06,GBP
2008-04-09,0.12,GBP
2008-09-24,0.06,GBP
2009-04-08,0.03,GBP
2009-09-23,0.03,GBP
2010-03-10,0.06,GBP
2010-09-22,0.03,GBP
2011-04-06,0.04,GBP
2011-09-14,0.0315,GBP
2012-04-04,0.04,GBP
2012-09-12,0.033,GBP
2013-04-10,0.067,GBP
2013-09-11,0.035,GBP
2014-04-16,0.07,GBP
2014-09-10,0.0375,GBP
2015-04-16,0.12,GBP
2015-09-10,0.04,GBP
2016-04-14,0.08,GBP
2016-09-08,0.044,GBP
2017-04-13,0.101,GBP
2017-09-07,0.0465,GBP
2018-04-12,0.151,GBP
2018-09-06,0.048,GBP
2019-04-11,0.108,GBP
2019-09-04,4.95,GBP
2019-09-05,0.0495,GBP
2020-04-09,15,GBP
2021-04-08,0.17,GBP
2021-09-02,0.06,GBP
2022-04-07,0.1275,GBP
2022-09-01,0.066,GBP
2023-04-06,0.134,GBP
2023-08-31,0.069,GBP
2024-04-11,0.02,GBP
2024-08-29,0.071,GBP
