Date,Amount,Currency
2000-08-14,0.42,GBP
2001-02-21,0.255,GBP
2001-06-27,0.42,GBP
2001-12-19,0.2601,GBP
2002-06-26,0.4284,GBP
2002-12-18,0.2601,GBP
2003-06-18,42.83998,GBP
2003-12-17,0.26655,GBP
2004-06-16,43.90498,GBP
2004-12-15,0.27315,GBP
2005-06-22,45.44998,GBP
2005-12-14,0.2874,GBP
2006-06-28,47.95498,GBP
2006-10-09,1.65,GBP
2006-12-13,0.2277,GBP
2007-06-27,0.3868,GBP
2007-12-05,0.2434,GBP
2008-06-18,0.4129,GBP
2008-12-03,0.2629,GBP
2009-06-17,0.4105,GBP
2009-12-02,0.2671,GBP
2010-06-16,0.4561,GBP
2010-12-01,0.2604,GBP
2011-06-22,0.3905,GBP
2011-11-30,0.2804,GBP
2012-06-20,0.4206,GBP
2012-12-05,0.3034,GBP
2013-06-19,0.4551,GBP
2013-12-04,0.3216,GBP
2014-06-18,0.4824,GBP
2014-12-04,0.3396,GBP
2015-06-18,0.5094,GBP
2015-12-03,0.3226,GBP
2016-06-16,0.484,GBP
2016-12-01,0.326,GBP
2017-06-15,0.489,GBP
2017-11-30,0.3463,GBP
2018-06-14,0.5192,GBP
2018-11-29,0.3735,GBP
2019-06-13,0.5602,GBP
2019-11-28,0.4003,GBP
2020-06-11,0.6005,GBP
2020-12-03,0.4063,GBP
2021-05-27,0.6095,GBP
2021-12-02,0.4086,GBP
2022-06-01,0.6128,GBP
2022-12-01,0.4273,GBP
2023-06-01,0.6409,GBP
2023-11-30,0.4674,GBP
2024-05-30,0.701,GBP
2024-11-28,0.4868,GBP
