Date,Amount,Currency
2000-07-03,0.10617,GBP
2000-12-04,0.06417,GBP
2001-07-11,14.35,GBP
2001-12-05,6.41667,GBP
2002-07-10,14.35,GBP
2002-12-04,0.06417,GBP
2003-07-09,0.14933,GBP
2003-12-03,6.53333,GBP
2004-07-07,0.154,GBP
2004-12-01,0.0665,GBP
2005-07-06,15.98333,GBP
2005-12-07,0.06883,GBP
2006-06-28,0.1645,GBP
2006-12-06,0.07233,GBP
2007-06-27,17.85,GBP
2007-12-05,7.58333,GBP
2008-07-02,0.18783,GBP
2008-12-03,0.07933,GBP
2009-07-01,0.18783,GBP
2009-12-02,7.93333,GBP
2010-06-23,0.18783,GBP
2010-12-01,7.93333,GBP
2011-06-29,19.71666,GBP
2011-11-30,0.08283,GBP
2012-06-27,20.76666,GBP
2012-11-28,8.63333,GBP
2013-06-26,21.93333,GBP
2013-11-20,9.1,GBP
2014-06-25,0.231,GBP
2014-11-20,0.09567,GBP
2015-07-02,0.231,GBP
2015-11-19,0.09567,GBP
2016-06-30,0.231,GBP
2016-11-24,0.09567,GBP
2017-06-29,23.1,GBP
2017-11-30,9.8,GBP
2018-06-21,0.23683,GBP
2018-11-22,0.10033,GBP
2019-06-20,24.26666,GBP
2019-11-21,10.26667,GBP
2020-06-18,24.26666,GBP
2020-11-19,0.10267,GBP
2021-06-24,25.66666,GBP
2021-11-25,10.5,GBP
2022-05-03,1.07,GBP
2022-06-30,0.128,GBP
2022-11-24,0.054,GBP
2023-06-22,0.131,GBP
2023-11-23,0.062,GBP
2024-06-20,0.129,GBP
2024-11-21,0.064,GBP
