Date,Amount,Currency
2001-05-09,0.01114,GBP
2001-11-07,0.02005,GBP
2002-05-08,0.04011,GBP
2002-11-06,0.02005,GBP
2003-05-07,0.04011,GBP
2003-11-05,2.22819,GBP
2004-05-19,4.6792,GBP
2004-11-17,2.45101,GBP
2005-05-18,5.12484,GBP
2005-11-23,0.02674,GBP
2006-05-24,0.09804,GBP
2006-11-22,0.04456,GBP
2007-05-23,0.05348,GBP
2007-11-14,3.56511,GBP
2008-04-30,0.0713,GBP
2008-10-29,0.04234,GBP
2009-04-29,7.13021,GBP
2009-10-28,4.45638,GBP
2010-04-28,0.08913,GBP
2010-10-27,4.6792,GBP
2011-04-20,0.09358,GBP
2011-10-26,4.6792,GBP
2012-04-25,0.10027,GBP
2012-10-24,4.99115,GBP
2013-04-24,0.10027,GBP
2013-10-23,0.04991,GBP
2014-04-23,0.10027,GBP
2014-10-23,0.04991,GBP
2015-04-23,10.02686,GBP
2015-10-22,4.99115,GBP
2016-04-28,10.02686,GBP
2016-09-01,0.04991,GBP
2016-12-22,0.10027,GBP
2017-10-12,0.04991,GBP
2018-04-05,0.10027,GBP
2018-10-04,0.04991,GBP
2019-04-04,10.02686,GBP
2019-10-03,4.99115,GBP
2020-04-02,0.10027,GBP
2020-10-01,0.04991,GBP
2021-04-08,0.02,GBP
2021-09-30,0.04,GBP
2022-04-07,0.055,GBP
2022-10-06,0.045,GBP
2023-04-13,0.079,GBP
2023-09-26,4.8,GBP
2023-09-28,0.048,GBP
2024-04-11,0.1,GBP
2024-10-03,0.048,GBP
