Date,Amount,Currency
2000-11-20,0.005,GBP
2001-06-20,0.015,GBP
2001-11-14,0.02,GBP
2002-06-19,0.025,GBP
2002-12-18,0.025,GBP
2003-06-25,0.0325,GBP
2003-12-10,0.045,GBP
2004-06-23,0.055,GBP
2005-01-05,0.05,GBP
2005-06-22,0.06,GBP
2006-07-05,0.01,GBP
2007-01-10,0.02,GBP
2007-07-11,0.06,GBP
2007-12-12,0.04,GBP
2008-07-09,0.1,GBP
2008-12-10,0.05,GBP
2009-07-08,0.125,GBP
2009-12-09,0.08,GBP
2010-07-14,0.14,GBP
2010-12-08,0.08,GBP
2011-07-13,0.14,GBP
2011-11-30,0.1,GBP
2012-07-18,0.17,GBP
2012-11-28,0.13,GBP
2013-07-17,0.18,GBP
2013-11-27,0.16,GBP
2014-07-16,0.19,GBP
2014-11-27,0.19,GBP
2015-07-23,0.21,GBP
2015-12-03,0.22,GBP
2016-07-07,0.24,GBP
2016-12-01,0.23,GBP
2017-07-06,0.25,GBP
2017-11-30,0.24,GBP
2018-07-12,0.26,GBP
2018-11-29,0.25,GBP
2019-07-11,0.27,GBP
2019-11-28,0.27,GBP
2020-07-09,0.3,GBP
2020-11-26,0.27,GBP
2021-07-08,0.3,GBP
2021-12-02,0.27,GBP
2022-07-14,0.3,GBP
2022-12-01,0.34,GBP
2023-07-20,0.46,GBP
2023-11-30,0.36,GBP
2024-08-01,0.47,GBP
2024-12-05,0.37,GBP
