Date,Amount,Currency
2013-08-07,0.02,GBP
2013-10-23,0.015,GBP
2014-02-05,0.0106,GBP
2014-05-07,0.015,GBP
2014-08-06,0.015,GBP
2014-11-13,0.0153,GBP
2015-02-12,0.0153,GBP
2015-05-14,0.0153,GBP
2015-08-13,0.0153,GBP
2015-11-12,0.01545,GBP
2016-02-11,0.01545,GBP
2016-04-28,0.01545,GBP
2016-08-11,0.01545,GBP
2016-11-03,0.0157,GBP
2017-02-02,0.0157,GBP
2017-05-04,0.0157,GBP
2017-08-03,0.0157,GBP
2017-11-16,0.01613,GBP
2018-02-01,0.01613,GBP
2018-05-03,0.01613,GBP
2018-08-09,0.01613,GBP
2018-10-25,0.01645,GBP
2019-02-07,1.64475,GBP
2019-05-02,1.64475,GBP
2019-07-18,0.01645,GBP
2019-11-14,0.0167,GBP
2020-02-13,0.0167,GBP
2020-05-07,0.0167,GBP
2020-08-13,0.0167,GBP
2020-11-12,0.0168,GBP
2021-02-11,0.0168,GBP
2021-05-13,0.0168,GBP
2021-08-12,0.0168,GBP
2021-11-11,0.0169,GBP
2022-02-10,0.0169,GBP
2022-05-12,0.0169,GBP
2022-08-11,0.0169,GBP
2022-11-10,0.0169,GBP
2023-02-09,0.0169,GBP
2023-05-11,0.014,GBP
2023-08-10,0.014,GBP
2023-11-09,0.01428,GBP
2024-02-08,0.01428,GBP
2024-05-16,0.01428,GBP
2024-08-15,0.01428,GBP
2024-11-14,0.01471,GBP
2025-02-13,0.01471,GBP
