Date,Amount,Currency
2000-03-13,0.0289,GBP
2000-09-11,0.01506,GBP
2001-03-14,0.0318,GBP
2001-09-12,0.01596,GBP
2002-03-13,0.03372,GBP
2002-09-11,0.01644,GBP
2003-03-12,0.03474,GBP
2003-09-10,0.01686,GBP
2004-03-17,0.0356,GBP
2004-09-15,0.01728,GBP
2005-03-16,0.03676,GBP
2005-09-14,0.0178,GBP
2006-03-15,0.03786,GBP
2006-09-13,0.0187,GBP
2007-03-14,0.03976,GBP
2007-09-12,0.01982,GBP
2008-03-12,0.04214,GBP
2008-09-10,0.021,GBP
2009-03-11,0.04468,GBP
2009-09-16,0.021,GBP
2010-03-10,0.046,GBP
2010-09-15,0.021,GBP
2011-03-16,0.0474,GBP
2011-09-14,0.028,GBP
2012-03-14,0.04246,GBP
2012-09-12,0.0293,GBP
2013-03-13,0.044,GBP
2013-09-11,0.0302,GBP
2014-03-12,0.0453,GBP
2014-09-10,0.0311,GBP
2015-03-12,0.04666,GBP
2015-06-11,0.01586,GBP
2015-09-10,0.01586,GBP
2015-12-10,0.01586,GBP
2016-03-10,0.03174,GBP
2016-06-09,0.01618,GBP
2016-09-08,0.01618,GBP
2016-12-08,0.01618,GBP
2017-03-09,0.03236,GBP
2017-06-08,0.01666,GBP
2017-09-07,0.01666,GBP
2017-12-07,0.01666,GBP
2018-03-08,0.03496,GBP
2018-06-07,0.0175,GBP
2018-09-06,0.0175,GBP
2018-12-06,0.0175,GBP
2019-03-07,0.04094,GBP
2019-06-06,0.022,GBP
2019-09-12,0.022,GBP
2019-12-05,0.022,GBP
2020-03-12,0.03678,GBP
2020-06-04,0.022,GBP
2020-09-10,0.022,GBP
2020-12-10,0.0165,GBP
2021-03-11,0.0165,GBP
2021-06-03,0.0195,GBP
2021-09-09,0.0195,GBP
2021-12-09,0.0195,GBP
2022-03-10,0.0205,GBP
2022-06-09,0.0205,GBP
2022-09-08,0.023,GBP
2022-12-08,0.025,GBP
2023-03-02,0.025,GBP
2023-06-01,0.023,GBP
2023-08-24,0.023,GBP
2023-11-30,0.025,GBP
2024-03-07,0.025,GBP
2024-05-30,0.025,GBP
2024-08-22,0.0275,GBP
2024-11-21,0.03,GBP
