Date,Amount,Currency
2014-02-20,0.025,GBX
2014-08-20,0.03,GBX
2015-02-19,0.0308,GBX
2015-08-20,0.0308,GBX
2016-02-18,0.03085,GBX
2016-05-26,0.0155,GBX
2016-08-18,0.0155,GBX
2016-11-17,0.01563,GBX
2017-02-16,0.01563,GBX
2017-05-18,0.01587,GBX
2017-08-17,0.01587,GBX
2017-11-16,0.01587,GBX
2018-02-15,0.01587,GBX
2018-05-17,0.01625,GBX
2018-08-16,0.01612,GBX
2018-11-08,0.01625,GBX
2019-02-14,0.01625,GBX
2019-05-16,0.0166,GBX
2019-08-15,0.0166,GBX
2019-11-14,0.0166,GBX
2020-02-13,0.01651,GBX
2020-05-14,0.0169,GBX
2020-08-13,0.01681,GBX
2020-11-12,0.01681,GBX
2021-02-11,0.01681,GBX
2021-05-13,0.0169,GBX
2021-08-12,0.0169,GBX
2021-11-11,0.0169,GBX
2022-02-10,0.0169,GBX
2022-05-12,0.0171,GBX
2022-08-11,0.0171,GBX
2022-11-17,0.0171,GBX
2023-02-09,0.0171,GBX
2023-05-11,0.01795,GBX
2023-08-10,0.01795,GBX
2023-11-09,0.01795,GBX
2024-02-22,0.01795,GBX
2024-05-16,0.01868,GBX
2024-08-15,0.01868,GBX
2024-11-14,0.01868,GBX
2025-02-13,0.01868,GBX
