Date,Amount,Currency
2000-04-17,0.03977,GBP
2000-09-25,1.87467,GBP
2001-04-18,0.04433,GBP
2001-09-26,2.11533,GBP
2002-04-17,0.04978,GBP
2002-09-25,2.36867,GBP
2003-04-16,5.48466,GBP
2003-09-24,0.02622,GBP
2004-04-28,6.042,GBP
2004-09-29,0.02901,GBP
2005-04-20,6.67533,GBP
2005-09-28,3.20467,GBP
2006-05-03,0.07727,GBP
2006-10-11,3.55933,GBP
2007-04-25,8.65133,GBP
2007-10-10,0.04053,GBP
2008-04-23,9.75333,GBP
2008-10-08,0.04522,GBP
2009-04-29,0.10627,GBP
2009-10-14,4.92733,GBP
2010-04-28,11.60266,GBP
2010-10-13,5.53533,GBP
2011-04-27,12.78066,GBP
2011-10-12,5.86466,GBP
2012-04-25,12.83133,GBP
2012-10-10,5.86466,GBP
2013-04-24,0.12831,GBP
2013-10-09,0.05865,GBP
2014-04-30,12.83133,GBP
2014-10-30,0.01469,GBP
2017-10-12,0.01267,GBP
2018-05-17,0.02533,GBP
2018-10-11,2.11533,GBP
2019-05-16,5.19333,GBP
2019-10-10,0.03357,GBP
2020-05-21,8.23333,GBP
2020-10-15,4.05333,GBP
2021-02-15,0.5093,GBP
2021-05-20,0.0595,GBP
2021-10-14,0.032,GBP
2022-05-19,0.077,GBP
2022-10-13,0.0385,GBP
2023-05-11,0.0705,GBP
2023-10-12,0.0385,GBP
2024-05-16,0.0825,GBP
2024-10-10,0.0425,GBP
