Date,Amount,Currency
2013-08-28,1.5,GBX
2014-01-29,3,GBX
2014-08-13,3.08,GBX
2015-02-12,3.08,GBX
2015-05-14,1.565,GBX
2015-08-06,1.565,GBX
2015-11-05,1.565,GBX
2016-01-21,1.565,GBX
2016-05-05,1.585,GBX
2016-08-04,1.585,GBX
2016-11-10,1.585,GBX
2017-02-09,1.585,GBX
2017-05-11,1.6225,GBX
2017-08-10,1.6225,GBX
2017-11-02,1.6225,GBX
2018-02-08,1.6225,GBX
2018-05-10,1.69,GBX
2018-08-09,1.69,GBX
2018-11-08,1.69,GBX
2019-01-31,1.69,GBX
2019-05-09,1.735,GBX
2019-08-08,1.735,GBX
2019-11-07,1.735,GBX
2020-02-13,1.735,GBX
2020-05-14,1.775,GBX
2020-08-13,1.775,GBX
2020-11-05,1.775,GBX
2021-02-11,1.775,GBX
2021-05-13,1.795,GBX
2021-08-12,1.795,GBX
2021-11-11,1.795,GBX
2022-02-10,1.795,GBX
2022-05-12,1.93,GBX
2022-08-11,1.93,GBX
2022-11-10,1.93,GBX
2023-02-09,1.93,GBX
2023-05-11,2.19,GBX
2023-08-10,2.19,GBX
2023-11-09,2.19,GBX
2024-02-15,3.43,GBX
2024-05-16,2.5,GBX
2024-08-15,2.5,GBX
2024-11-14,2.5,GBX
2025-02-13,2.5,GBX
