Date,Amount,Currency
2000-06-19,0.018,GBP
2000-12-27,0.043,GBP
2001-06-20,0.02,GBP
2002-01-30,0.047,GBP
2002-06-26,0.021,GBP
2003-02-05,0.049,GBP
2003-06-25,0.022,GBP
2004-02-04,0.053,GBP
2004-06-23,0.024,GBP
2005-02-02,0.062,GBP
2005-06-22,0.027,GBP
2006-02-01,0.093,GBP
2006-06-28,0.042,GBP
2007-01-31,0.102,GBP
2007-06-27,0.047,GBP
2008-02-06,0.126,GBP
2008-06-11,0.052,GBP
2009-02-11,0.131,GBP
2009-06-10,0.052,GBP
2010-02-10,0.14,GBP
2010-06-09,0.064,GBP
2011-02-09,0.5,GBP
2011-06-08,0.08,GBP
2012-02-08,0.245,GBP
2012-06-06,0.09,GBP
2013-02-06,0.284,GBP
2013-06-12,0.1035,GBP
2014-02-05,0.3265,GBP
2014-06-11,0.1139,GBP
2015-02-05,0.3376,GBP
2015-06-11,0.1173,GBP
2016-02-04,0.3509,GBP
2016-06-09,0.1173,GBP
2017-02-02,0.3509,GBP
2017-06-08,0.122,GBP
2018-02-01,0.416,GBP
2018-06-07,0.1342,GBP
2019-01-31,0.8268,GBP
2019-06-06,0.1342,GBP
2020-01-30,0.4614,GBP
2021-01-28,0.4614,GBP
2021-06-03,0.1342,GBP
2022-01-27,0.5,GBP
2022-05-26,0.1342,GBP
2023-01-19,0.4614,GBP
2023-05-25,0.1342,GBP
2024-01-25,0.4614,GBP
2024-05-30,0.1342,GBP
2025-01-23,0.4614,GBP
