Date,Open,High,Low,Close,Volume
2021-01-29,425,467.163,414.3,450,67083477
2021-02-01,449.75,458.9,425,449,7458371
2021-02-02,451.35,456.4,440.2,446,2967329
2021-02-03,454,474.05,442.15,445,1176277
2021-02-04,450,478.95,445,472,4095271
2021-02-05,474,500.39,467.46,490,3055152
2021-02-08,513,514.8,497.42,507.6,1473689
2021-02-09,515,521.6,511,513,1284791
2021-02-10,511,515,498,498,1683416
2021-02-11,500,514.8,499,499.4,1381501
2021-02-12,508,508,498,500,934372
2021-02-15,510,514.8,505.2,514.8,763252
2021-02-16,514.8,515,505,505,1123999
2021-02-17,520,520,490.6,501.8,1019625
2021-02-18,508.4,510,482,492,1264996
2021-02-19,498,498,484.2,484.2,794656
2021-02-22,498.5,499.9,483.7,495,792523
2021-02-23,508.4,508.4,481.1,485,6934548
2021-02-24,508,509.2,487.4,496.9,636402
2021-02-25,475.5,510,475,498,565993
2021-02-26,508.4,509.8,483.9,493.4,1205342
2021-03-01,510,510,484.09,490,655487
2021-03-02,498.5,498.5,477.3,482.3,2267480
2021-03-03,498.5,504,471.5,480.6,518536
2021-03-04,478,482,472.1,478,1013211
2021-03-05,475.1,485.66,465.5,465.5,869170
2021-03-08,476,476,430.9,442,1922955
2021-03-09,436,473.5,429.5,470,1210254
2021-03-10,475,475,451.607,456.3,252523
2021-03-11,466.7,466.7,449.6,451,720249
2021-03-12,466,469.5,449.1,462.2,1049991
2021-03-15,475.8,475.8,446,451.8,1304197
2021-03-16,467.5,469,449.2,465.4,1629294
2021-03-17,467.5,469,459.7,461.3,659213
2021-03-18,461.6,465.8,453,458,1661434
2021-03-19,460,466.4,450.2,466.4,24452289
2021-03-22,467,476.6,457.04,475,544204
2021-03-23,475,498,475,495,589645
2021-03-24,498.2,502.5,478.4,480.6,929336
2021-03-25,492,492,461.8,462,1776781
2021-03-26,470,473.4,463.2,467.6,660542
2021-03-29,489.4,489.4,462.2,464,366862
2021-03-30,466,473.4,446.4,454,566789
2021-03-31,472.6,472.6,445,453.2,605381
2021-04-01,449.8,464,443.6,455,718842
